,Cluster,mass,fell_found,year,latitude,longitude,group,chondrite,type,lc_sample
732,0,41800.0,Found,1938,26.26667,-81.75,H,Chondrite,Stony,2
736,0,12000.0,Found,1968,-30.06667,141.06667,H,Chondrite,Stony,2
737,0,381.0,Found,1977,-29.46667,128.35,H,Chondrite,Stony,2
738,0,1676.0,Fell,1808,44.86667,10.05,LL,Chondrite,Stony,2
740,0,1342.0,Fell,1930,54.23333,52.48333,CM,Chondrite,Stony,1
742,0,500.0,Fell,1812,55.46667,35.86667,H,Chondrite,Stony,1
750,0,603.0,Found,1907,-33.0,26.4,H,Chondrite,Stony,2
754,0,202.9,Found,1974,-31.3,138.38333,Brachinite,Achondrite,Stony,2
759,0,7580.0,Found,1975,40.81,-101.80167,L,Chondrite,Stony,2
764,0,17000.0,Found,1940,39.25,-101.33333,L,Chondrite,Stony,2
771,0,6800.0,Found,1937,41.43333,-99.7,H,Chondrite,Stony,2
773,0,972.0,Found,1971,33.28333,-102.96667,Chondrite,Chondrite,Stony,2
774,0,101.0,Found,1980,33.275,-102.96,Chondrite,Chondrite,Stony,2
775,0,53.0,Found,1980,33.275,-102.96,Chondrite,Chondrite,Stony,2
776,0,2000.0,Found,1971,38.69667,-99.70833,L,Chondrite,Stony,2
777,0,40960.0,Found,1937,33.21667,-102.18333,H,Chondrite,Stony,2
778,0,4100.0,Found,1964,33.21667,-102.18333,H,Chondrite,Stony,2
779,0,1550.0,Found,1974,33.135,-102.27833,Chondrite,Chondrite,Stony,2
784,0,992.0,Found,1963,-32.95556,136.1375,H,Chondrite,Stony,2
787,0,38750.0,Found,1971,-29.62917,116.48222,L,Chondrite,Stony,2
788,0,357.0,Fell,1942,10.01667,9.58333,Howardite,Achondrite,Stony,2
790,0,8600.0,Found,1940,38.23333,-99.53333,H,Chondrite,Stony,2
792,0,120000.0,Fell,1919,5.0,48.0,H,Chondrite,Stony,0
796,0,2515.0,Found,1965,-32.05,126.16667,H,Chondrite,Stony,2
797,0,1987.0,Found,1971,35.33333,-99.15,L,Chondrite,Stony,2
803,0,1240.0,Found,1939,41.23333,-103.9,H,Chondrite,Stony,2
806,0,29000.0,Fell,1861,27.08333,84.08333,H,Chondrite,Stony,16
807,0,25000.0,Fell,1870,37.98333,-1.16667,LL,Chondrite,Stony,15
809,0,212.0,Fell,1919,43.83889,20.33333,Chondrite,Chondrite,Stony,10
814,0,3290.0,Found,1910,-34.06667,139.75,L,Chondrite,Stony,2
815,0,19.0,Found,1960,-26.45,120.36667,Lunar,Achondrite,Stony,2
861,0,55.1,Found,1988,-30.31667,126.61667,CV,Chondrite,Stony,14
867,0,945.0,Fell,1861,41.25,1.66667,H,Chondrite,Stony,1
868,0,34000.0,Fell,1866,43.38333,-5.15,H,Chondrite,Stony,1
869,0,1400.0,Fell,1973,38.47028,-105.24139,H,Chondrite,Stony,13
871,0,860.0,Found,1957,34.96667,-101.93333,H,Chondrite,Stony,2
874,0,1520.0,Found,1961,38.18333,-109.88333,H,Chondrite,Stony,13
878,0,750.0,Fell,1934,-30.88333,-64.55,H,Chondrite,Stony,2
879,0,8.0,Fell,1902,38.5,27.0,LL,Chondrite,Stony,15
881,0,392.0,Found,1888,-24.0,-69.0,H,Chondrite,Stony,13
882,0,6.4,Found,1966,-32.1,125.68333,L,Chondrite,Stony,2
883,0,17000.0,Found,1983,27.93333,-107.05,H,Chondrite,Stony,15
884,0,49.5,Found,1977,-29.16667,127.08333,Rumuruti,Chondrite,Stony,2
885,0,410.0,Found,1977,-29.16667,127.16667,H,Chondrite,Stony,2
886,0,116.0,Found,1977,-29.15,127.16667,H,Chondrite,Stony,2
887,0,809.0,Found,1977,-29.16667,127.16667,H,Chondrite,Stony,2
888,0,502.0,Found,1977,-29.18333,127.16667,H,Chondrite,Stony,2
890,0,132700.0,Found,1963,35.16667,-98.64389,L,Chondrite,Stony,2
891,0,800.0,Found,1941,-37.98333,140.98333,H,Chondrite,Stony,1
892,0,31600.0,Found,1914,-29.23333,139.93333,L,Chondrite,Stony,2
894,0,294.0,Found,1914,-29.75,141.03333,L,Chondrite,Stony,2
898,0,5896.8,Found,1936,35.84778,-97.70333,H,Chondrite,Stony,1
899,0,5250.0,Found,1937,-33.1,-61.13333,H,Chondrite,Stony,2
910,0,26210.0,Found,1938,44.221494,-98.059192,H,Chondrite,Stony,1
911,0,4900.0,Found,1937,39.7,-98.98333,H,Chondrite,Stony,2
912,0,26000.0,Found,1900,29.82806,-96.90861,H,Chondrite,Stony,2
914,0,3600.0,Found,1959,34.2,-100.48333,H,Chondrite,Stony,13
915,0,1025.0,Fell,1988,26.46667,-105.23333,L,Chondrite,Stony,2
916,0,45.6,Fell,1956,43.2,-96.91667,H,Chondrite,Stony,1
917,0,6460.0,Fell,1840,45.08333,8.3,H,Chondrite,Stony,2
919,0,68.0,Found,1986,24.33333,-102.13333,H,Chondrite,Stony,13
921,0,0.5,Fell,1814,25.36667,81.66667,H,Chondrite,Stony,1
922,0,8200.0,Fell,1907,25.85,83.48333,LL,Chondrite,Stony,1
923,0,18300.0,Fell,1933,-30.78333,-58.05,L,Chondrite,Stony,2
924,0,2400.0,Found,1941,36.2,-102.45,H,Chondrite,Stony,13
927,0,8800.0,Fell,1838,20.26667,76.01667,L,Chondrite,Stony,2
929,0,1810.0,Fell,1977,29.08333,111.75,H,Chondrite,Stony,1
930,0,27900.0,Found,1964,31.33333,121.66667,H,Chondrite,Stony,0
931,0,15300.0,Found,1936,35.71667,-102.28333,H,Chondrite,Stony,2
935,0,27000.0,Fell,1810,47.93333,1.56667,H,Chondrite,Stony,2
936,0,12000.0,Fell,1834,29.48333,75.5,H,Chondrite,Stony,1
942,0,2936.0,Fell,1988,-3.66667,32.5,H,Chondrite,Stony,2
943,0,6000.0,Fell,1964,53.7,30.1,H,Chondrite,Stony,10
944,0,8400.0,Fell,1933,35.03333,-81.88333,LL,Chondrite,Stony,12
945,0,705.0,Fell,1901,46.55,6.81667,L,Chondrite,Stony,2
949,0,367.0,Fell,1981,17.9,101.63333,H,Chondrite,Stony,16
951,0,8030.0,Found,1951,36.0,-104.5,H,Chondrite,Stony,2
953,0,303.0,Fell,1938,40.93333,-79.73333,LL,Chondrite,Stony,1
966,0,1600.0,Fell,1979,-6.95,108.1,L,Chondrite,Stony,1
969,0,2268.0,Found,1977,34.02806,-102.68,L,Chondrite,Stony,2
970,0,1964.0,Found,1979,34.905,-100.91333,H,Chondrite,Stony,13
971,0,26.8,Found,1981,34.93611,-100.94167,H,Chondrite,Stony,13
973,0,20.0,Found,1986,12.5,-137.7,H,Chondrite,Stony,0
975,0,1455.0,Fell,1984,32.1025,-81.87278,L,Chondrite,Stony,2
977,0,5136.0,Found,1978,34.34833,-101.65833,Chondrite,Chondrite,Stony,2
979,0,24000.0,Found,1960,36.43333,-98.43333,H,Chondrite,Stony,1
981,0,11360.0,Found,1962,39.1,-103.25833,L,Chondrite,Stony,2
983,0,277.0,Found,1986,11.7,-137.8,H,Chondrite,Stony,0
985,0,283000.0,Found,1961,34.3,-103.13472,H,Chondrite,Stony,1
988,0,6530.0,Found,1892,-22.56667,-70.25,H,Chondrite,Stony,13
989,0,429.0,Found,1970,-26.66667,120.16667,L,Chondrite,Stony,2
990,0,2460.0,Found,1946,-32.13333,141.03333,L,Chondrite,Stony,2
991,0,19500.0,Found,1949,-31.93333,126.21667,H,Chondrite,Stony,13
992,0,482.0,Found,1945,-32.81667,134.8,L,Chondrite,Stony,2
993,0,2400.0,Found,1940,39.41667,-101.05,H,Chondrite,Stony,2
996,0,5200.0,Fell,1838,-33.13333,19.38333,CM,Chondrite,Stony,15
998,0,16000.0,Found,1924,37.26667,-99.33333,H,Chondrite,Stony,2
1012,0,3912.0,Found,1975,35.35,-98.68333,CO,Chondrite,Stony,2
1016,0,56.2,Found,1986,-29.6,126.50667,H,Chondrite,Stony,14
1017,0,100.0,Found,1986,-29.785,126.58833,H,Chondrite,Stony,14
1019,0,2400.0,Found,1956,31.99167,-98.65167,L,Chondrite,Stony,2
1020,0,304.3,Found,1972,-31.2,138.3,H,Chondrite,Stony,2
1022,0,20350.0,Fell,1965,-19.85,-47.55,H,Chondrite,Stony,2
1023,0,105000.0,Found,1989,-30.33333,130.53333,H,Chondrite,Stony,14
