"","id","recclass","mass","fell_or_found","year","latitude","longitude","group","chondrite","type","lvl3","lvl4","lc_sample","weights"
"1653",6060,"H5/6",94,"Found",1997,27.18333,16.08333,"H","Chondrite","Stony","Ordinary","H","11",0.00485781484723708
"1654",6061,"H4",281,"Found",1997,27.0555,16.136,"H","Chondrite","Stony","Ordinary","H","11",0.00485781484723708
"1655",6062,"H4-6",83,"Found",1997,27.0715,16.11583,"H","Chondrite","Stony","Ordinary","H","11",0.00485781484723708
"1656",6063,"H5",894,"Found",1997,27.08983,16.08667,"H","Chondrite","Stony","Ordinary","H","11",0.00485781484723708
"1657",6064,"H6",298,"Found",1997,27.11183,16.08433,"H","Chondrite","Stony","Ordinary","H","11",0.00485781484723708
"1658",6065,"H6",289,"Found",1997,27.11117,16.08433,"H","Chondrite","Stony","Ordinary","H","11",0.00485781484723708
"1659",6066,"H6",114,"Found",1997,27.14167,16.0865,"H","Chondrite","Stony","Ordinary","H","11",0.00485781484723708
"1660",6067,"H4",269,"Found",1997,27.31033,16.2325,"H","Chondrite","Stony","Ordinary","H","11",0.00485781484723708
"1661",6068,"H5-6",184,"Found",1997,27.31033,16.2325,"H","Chondrite","Stony","Ordinary","H","11",0.00485781484723708
"1662",6069,"CV3",1567,"Found",1997,27.311,16.234,"CV","Chondrite","Stony","Carbonaceous","CV-CK","11",0.00485781484723708
"1663",6070,"L6",31,"Found",1997,27.3,16.2,"L","Chondrite","Stony","Ordinary","L","11",0.00485781484723708
"1664",6071,"L4/5",100,"Found",1997,27.1365,16.0835,"L","Chondrite","Stony","Ordinary","L","11",0.00485781484723708
"1665",6072,"H5-6",86,"Found",1997,27.15183,16.23367,"H","Chondrite","Stony","Ordinary","H","11",0.00485781484723708
"1666",6073,"H5-6",72,"Found",1997,27.18783,16.1385,"H","Chondrite","Stony","Ordinary","H","11",0.00485781484723708
"1667",6074,"CV3",49,"Found",1997,27.0685,16.107,"CV","Chondrite","Stony","Carbonaceous","CV-CK","11",0.00485781484723708
"1668",6075,"L6",63,"Found",1997,27.01817,16.0885,"L","Chondrite","Stony","Ordinary","L","11",0.00485781484723708
"1669",6076,"L6",87,"Found",1997,27.01733,16.0885,"L","Chondrite","Stony","Ordinary","L","11",0.00485781484723708
"1670",6077,"L6",101,"Found",1997,27.01867,16.32033,"L","Chondrite","Stony","Ordinary","L","11",0.00485781484723708
"1671",6078,"L6",90,"Found",1997,27.18867,16.3185,"L","Chondrite","Stony","Ordinary","L","11",0.00485781484723708
"1672",6079,"L6",103,"Found",1997,27.18867,16.33383,"L","Chondrite","Stony","Ordinary","L","11",0.00485781484723708
"1673",6080,"L6",142,"Found",1997,27.20017,16.3685,"L","Chondrite","Stony","Ordinary","L","11",0.00485781484723708
"1674",6081,"CV3",35,"Found",1997,27.20567,16.371,"CV","Chondrite","Stony","Carbonaceous","CV-CK","11",0.00485781484723708
"1675",6082,"L6",34,"Found",1997,27.2025,16.36917,"L","Chondrite","Stony","Ordinary","L","11",0.00485781484723708
"1676",6083,"CV3",19,"Found",1997,27.20017,16.35017,"CV","Chondrite","Stony","Carbonaceous","CV-CK","11",0.00485781484723708
"1677",6084,"H6",60,"Found",1997,27.2015,16.35517,"H","Chondrite","Stony","Ordinary","H","11",0.00485781484723708
"1678",6085,"L6",46,"Found",1997,27.18767,16.335,"L","Chondrite","Stony","Ordinary","L","11",0.00485781484723708
"1679",6086,"L6",39,"Found",1997,27.1855,16.31683,"L","Chondrite","Stony","Ordinary","L","11",0.00485781484723708
"1680",6087,"L6",28,"Found",1997,27.1835,16.30267,"L","Chondrite","Stony","Ordinary","L","11",0.00485781484723708
"1681",6088,"L6",33,"Found",1997,27.1835,16.30167,"L","Chondrite","Stony","Ordinary","L","11",0.00485781484723708
"1682",6089,"L6",21,"Found",1997,27.186,16.287,"L","Chondrite","Stony","Ordinary","L","11",0.00485781484723708
"1683",6090,"L6",6,"Found",1997,27.18683,16.288,"L","Chondrite","Stony","Ordinary","L","11",0.00485781484723708
