"","id","recclass","mass","fell_found","year","latitude","longitude","group","chondrite","type","lvl3","lvl4","lc_sample","weights"
"6297",23581,"Iron, IAB-sLL",12000,"Found",1907,39.76667,-76.66667,"Iron IAB","Achondrite","Iron","Non-magmatic","Primative","1",0.0294975764627465
"3629",11474,"Ureilite",596,"Found",1958,19.91667,56.25,"Ureilite","Achondrite","Stony","Primitive or asteroidal",NA,"14",0.0286088486882495
"3235",7754,"L6",2117,"Fell",1943,33.43333,127.26667,"L","Chondrite","Stony","Ordinary","L","0",1
"4860",16713,"CV3",4500,"Fell",1908,-39.63333,174.4,"CV","Chondrite","Stony","Carbonaceous","CV-CK","0",1
"3278",7802,"H5",4500,"Found",1989,23.66667,-1.81667,"H","Chondrite","Stony","Ordinary","H","14",0.0286088486882495
"4581",12757,"Iron",3.3,"Found",1904,-40.73333,146.96667,"Iron","Achondrite","Iron",NA,NA,"0",1
"5678",22646,"H5",440,"Found",1936,37.11667,-101.6,"H","Chondrite","Stony","Ordinary","H","2",0.064345060252235
"5020",16919,"LL6",375,"Found",1907,59.18333,12.21667,"LL","Chondrite","Stony","Ordinary","LL","0",1
"6666.2",24053,"H",357.4,"Fell",1950,58.47333,8.86667,"H","Chondrite","Stony","Ordinary","H","0",1
"3639",11485,"LL4",3710,"Fell",1959,41.38333,-86.6,"LL","Chondrite","Stony","Ordinary","LL","1",0.0294975764627465
"600",4948,"LL4",17,"Fell",1886,52,9.1,"LL","Chondrite","Stony","Ordinary","LL","2",0.064345060252235
"940",5335,"Iron, IAB-sHL",127760,"Found",1938,53.66667,88,"Iron IAB","Achondrite","Iron","Non-magmatic","Primative","8",0.0565394577591197
"5632.3",22585,"Iron, IVA",10000,"Fell",1919,-6.73333,111.36667,"Iron IVA","Achondrite","Iron","Magmatic","Siderite","0",1
"6931",24347,"H5",69000,"Found",1975,34.36667,118.33333,"H","Chondrite","Stony","Ordinary","H","1",0.0294975764627465
"4379",12275,"L4",6937,"Fell",1939,29.45,-96,"L","Chondrite","Stony","Ordinary","L","1",0.0294975764627465
