"","Name","Fell_or_Found","Year","Mass","longitude","latitude","Land_Cover","Chondrite","Type","Level_3","Level_4","Group","recclass"
"76","Acfer 069","Found",1990,941,3.83333,27.53333,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L6"
"77","Acfer 070","Found",1990,138,4.48333,27.68333,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H4/5"
"78","Acfer 071","Found",1990,1379,4.28333,27.63333,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L6"
"79","Acfer 072","Found",1990,162,4.25,27.63333,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L5/6"
"80","Acfer 073","Found",1990,2010,3.85,27.53333,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H5"
"81","Acfer 074","Found",1990,384,3.83333,27.48333,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L6"
"82","Acfer 075","Found",1990,1453,3.73333,27.51667,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H5"
"83","Acfer 076","Found",1990,183,4.35,27.7,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H5"
"84","Acfer 077","Found",1990,2538,4.51667,27.63333,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L6"
"85","Acfer 078","Found",1990,105,4.15,27.56667,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H5"
"86","Acfer 079","Found",1990,387,3.68333,27.5,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L6"
"87","Acfer 080","Found",1990,574,4.51667,27.63333,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L3.9"
"88","Acfer 081","Found",1990,110,3.86667,27.53333,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","LL","LL","LL5-6"
"89","Acfer 082","Found",1990,208,3.48333,27.5,"Temperate Decidious Forest","Chondrite","Stony","Carbonaceous","CV-CK","CV","CV3"
"90","Acfer 083","Found",1990,690,3.63333,27.48333,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L6"
"91","Acfer 084","Found",1990,6300,3.86667,27.55,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H5"
"92","Acfer 085","Found",1990,293,3.95,27.58333,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H5"
"93","Acfer 086","Found",1990,173,4.18333,27.66667,"Temperate Decidious Forest","Chondrite","Stony","Carbonaceous","CV-CK","CV","CV3"
"94","Acfer 087","Found",1990,163,4.26667,27.7,"Temperate Decidious Forest","Chondrite","Stony","Carbonaceous","CR","CR","CR2"
"95","Acfer 088","Found",1990,200,4.43333,27.75,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L6"
"96","Acfer 089","Found",1990,682,4.3,27.63333,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H5"
"97","Acfer 090","Found",1990,290,3.83333,27.5,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H5"
"98","Acfer 091","Found",1990,3487,4.11667,27.45,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","LL","LL","LL5-6"
"99","Acfer 092","Found",1990,244,4.51667,27.66667,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H5"
"100","Acfer 093","Found",1990,420,4.13333,27.71667,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L5"
"101","Acfer 094","Found",1990,82,4.43333,27.73333,"Temperate Decidious Forest","Chondrite","Stony","Carbonaceous","","Chondrite","C2-ung"
"102","Acfer 095","Found",1990,104,4.38333,27.71667,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H3.7"
"103","Acfer 096","Found",1990,572,4.2,27.61667,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L4-5"
"104","Acfer 097","Found",1990,63,3.96667,27.51667,"Temperate Decidious Forest","Chondrite","Stony","Carbonaceous","CR","CR","CR2"
"105","Acfer 098","Found",1990,5500,3.88333,27.46667,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H5"
"106","Acfer 099","Found",1990,313,3.83333,27.45,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H5"
"107","Acfer 100","Found",1990,140,3.95,27.46667,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H6"
"108","Acfer 101","Found",1990,452,4.16667,27.53333,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L6"
"109","Acfer 102","Found",1990,346,4.46667,27.66667,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L3-5"
"110","Acfer 103","Found",1990,665,4.5,27.8,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H5"
"111","Acfer 104","Found",1990,992,4.36667,27.63333,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H4/5"
"112","Acfer 105","Found",1990,392,4.13333,27.55,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L6"
"113","Acfer 106","Found",1990,1390,3.9,27.5,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","LL","LL","LL6"
"114","Acfer 107","Found",1990,105,3.75,27.45,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L6"
"115","Acfer 108","Found",1990,828,3.88333,27.5,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H6"
"116","Acfer 109","Found",1990,236,3.76667,27.55,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H4/5"
