"","Name","Fell_or_Found","Year","Mass","longitude","latitude","Land_Cover","Chondrite","Type","Level_3","Level_4","Group","recclass"
"1743","Dar al Gani 621","Found",1998,76,16.32167,27.50467,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L4"
"1744","Dar al Gani 622","Found",1998,46,16.2475,27.352,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H5"
"1745","Dar al Gani 623","Found",1998,135,16.35383,27.23633,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L6"
"1746","Dar al Gani 624","Found",1998,1750,16.18833,27.3705,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L6"
"1747","Dar al Gani 625","Found",1998,502,16.2035,27.35517,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L6"
"1748","Dar al Gani 626","Found",1998,233,16.23567,27.35167,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H4"
"1749","Dar al Gani 627","Found",1998,72,16.32217,27.30417,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H5"
"1750","Dar al Gani 628","Found",1998,60,16.33833,27.2735,"Temperate Decidious Forest","Chondrite","Stony","Carbonaceous","CM-CO","CO","CO3"
"1751","Dar al Gani 629","Found",1998,65,16.338,27.23533,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H5"
"1752","Dar al Gani 630","Found",1998,159,16.05067,27.0555,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H4"
"1753","Dar al Gani 631","Found",1998,41,16.33733,27.15233,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H4"
"1754","Dar al Gani 632","Found",1998,340,16.70167,26.90767,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","LL","LL","LL3.3"
"1755","Dar al Gani 633","Found",1998,210,16.6775,26.919,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","LL","LL","LL5"
"1756","Dar al Gani 634","Found",1998,160,15.99133,27.37083,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L6"
"1757","Dar al Gani 635","Found",1998,1390,16.679,26.90483,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H5"
"1758","Dar al Gani 636","Found",1998,2975,16.54917,26.881,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L5"
"1759","Dar al Gani 637","Found",1998,1149,16.65167,26.88217,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L6"
"1760","Dar al Gani 638","Found",1998,8170,16.15,26.95,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H4"
"1761","Dar al Gani 639","Found",1998,237,16.419,26.94017,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","LL","LL","LL5"
"1762","Dar al Gani 640","Found",1998,34,16.13933,26.99317,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H5"
"1763","Dar al Gani 641","Found",1998,1030,16.46917,26.96417,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H5"
"1764","Dar al Gani 642","Found",1998,265,16.579,26.88533,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L6"
"1765","Dar al Gani 643","Found",1998,152,16.405,26.98,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L6"
"1766","Dar al Gani 644","Found",1998,223,16.41983,27.15733,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L6"
"1767","Dar al Gani 645","Found",1998,160,16.45833,26.98167,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H5"
"1768","Dar al Gani 646","Found",1998,171,16.66933,26.90833,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H5"
"1769","Dar al Gani 647","Found",1997,1425,16.13333,27.16667,"Temperate Decidious Forest","Achondrite","Stony","Asteroidal","H-E-D Vesta","Eucrite","Eucrite-mmict"
"1770","Dar al Gani 648","Found",1999,288,16.00444,27.16306,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H5"
"1771","Dar al Gani 649","Found",1999,310,16.0075,27.26056,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L6"
"1772","Dar al Gani 650","Found",1999,3700,16.01139,27.25861,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L6"
"1773","Dar al Gani 651","Found",1997,84,16.10033,27.11683,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H6"
"1774","Dar al Gani 652","Found",1999,744,16.38333,26.98333,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L6"
"1775","Dar al Gani 653","Found",1999,2125,16.36667,27.01667,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H5"
"1776","Dar al Gani 654","Found",1999,2478,16.06667,26.8,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H4"
"1777","Dar al Gani 655","Found",1999,168,16.18333,27.11667,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L6"
"1778","Dar al Gani 656","Found",1999,578,16.41667,26.96667,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L6"
"1779","Dar al Gani 657","Found",1999,386,16.1,27.28333,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L6"
"1780","Dar al Gani 658","Found",1999,35,16.46667,26.93333,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H5/6"
"1781","Dar al Gani 659","Found",2000,15,16.2,27.6,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H5"
"1782","Dar al Gani 660","Found",1999,86,16.38333,27.03333,"Temperate Decidious Forest","Achondrite","Stony","Primitive or asteroidal","-","Ureilite","Ureilite"
"1783","Dar al Gani 661","Found",1999,23,16.38333,27.05,"Temperate Decidious Forest","Achondrite","Stony","Primitive or asteroidal","-","Ureilite","Ureilite"
"1784","Dar al Gani 662","Found",1999,385,16.43333,27.11667,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H6"
"1785","Dar al Gani 663","Found",1999,532,16.43333,27.11667,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L6"
"1786","Dar al Gani 664","Found",2000,137,16.11667,27.23333,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L4"
"1787","Dar al Gani 665","Found",1999,363,16.35,27.05,"Temperate Decidious Forest","Achondrite","Stony","Primitive or asteroidal","-","Ureilite","Ureilite-pmict"
"1788","Dar al Gani 666","Found",1999,33,16.05,27.05,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","LL","LL","L/LL3"
"1789","Dar al Gani 667","Found",1999,108,16.05,27.05,"Temperate Decidious Forest","Chondrite","Stony","Carbonaceous","CM-CO","CO","CO3"
"1790","Dar al Gani 668","Found",1999,86,16.06667,27.06667,"Temperate Decidious Forest","Chondrite","Stony","Carbonaceous","CM-CO","CO","CO3"
"1791","Dar al Gani 669","Found",1999,926,16.16667,27.33333,"Temperate Decidious Forest","Achondrite","Stony","Asteroidal","H-E-D Vesta","Howardite","Howardite"
"1792","Dar al Gani 671","Found",1999,485,16.16667,27.35,"Temperate Decidious Forest","Achondrite","Stony","Asteroidal","H-E-D Vesta","Howardite","Howardite"
"1793","Dar al Gani 672","Found",1999,1616,16.3,27.46667,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","LL","LL","LL5"
"1794","Dar al Gani 673","Found",2000,96,16.11667,27.23333,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L4/5"
"1795","Dar al Gani 674","Found",1999,252,16.38333,26.98333,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L6"
"1796","Dar al Gani 675","Found",1999,196,16.4,27,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H5"
"1797","Dar al Gani 676","Found",1999,246,16.36667,26.96667,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L6"
"1798","Dar al Gani 677","Found",1999,584,16.13333,27,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L6"
"1799","Dar al Gani 678","Found",2000,162,16.43333,26.75,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H5/6"
"1800","Dar al Gani 679","Found",1999,21,16.46667,26.95,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H5-6"
"1801","Dar al Gani 680","Found",1999,78,16.4,27.05,"Temperate Decidious Forest","Achondrite","Stony","Primitive or asteroidal","-","Ureilite","Ureilite"
"1802","Dar al Gani 681","Found",1999,110,16.38333,27.05,"Temperate Decidious Forest","Achondrite","Stony","Primitive or asteroidal","-","Ureilite","Ureilite"
"1803","Dar al Gani 682","Found",1999,1998,16.18333,27.03333,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H6"
"1804","Dar al Gani 683","Found",1999,232,16.8,26.58333,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L6"
"1805","Dar al Gani 684","Found",1999,2210,16.38333,27.08333,"Temperate Decidious Forest","Achondrite","Stony","Asteroidal","H-E-D Vesta","Eucrite","Eucrite"
"1806","Dar al Gani 685","Found",1999,380,16.25,27.45,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H4-6"
"1807","Dar al Gani 686","Found",1999,184,16.41667,27.01667,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H6"
"1808","Dar al Gani 687","Found",1999,30,16.46667,26.95,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H5"
"1809","Dar al Gani 688","Found",1999,616,16.46667,26.95,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H5/6"
"1810","Dar al Gani 689","Found",1999,200,16.1,27.28333,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H4-5"
"1811","Dar al Gani 690","Found",1999,344,16.36667,26.96667,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L6"
"1812","Dar al Gani 691","Found",1999,96,16.21667,27.15,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L5"
"1813","Dar al Gani 692","Found",1999,734,16.36667,27.08333,"Temperate Decidious Forest","Achondrite","Stony","Primitive or asteroidal","-","Ureilite","Ureilite"
"1814","Dar al Gani 693","Found",1999,8,16.36667,27.08333,"Temperate Decidious Forest","Achondrite","Stony","Primitive or asteroidal","-","Ureilite","Ureilite"
"1815","Dar al Gani 694","Found",1999,321,16.41667,26.96667,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L6"
"1816","Dar al Gani 695","Found",1999,53,16.45,26.95,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H5"
"1817","Dar al Gani 696","Found",1999,564,16.08333,27.08333,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H4"
"1818","Dar al Gani 697","Found",1999,586,16.05,27.11667,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H6"
"1819","Dar al Gani 699","Found",1999,244,16.2,27.4,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L6"
"1820","Dar al Gani 700","Found",1999,81,16.43333,26.96667,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L6"
"1821","Dar al Gani 701","Found",1999,237,16.41667,26.98333,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L6"
"1822","Dar al Gani 702","Found",1999,96,16.4,26.98333,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L6"
"1823","Dar al Gani 703","Found",1999,74,16.38333,26.96667,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L6"
"1824","Dar al Gani 704","Found",1999,213,16.38333,26.96667,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L6"
"1825","Dar al Gani 705","Found",1999,1120,16.4,26.96667,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H5/6"
"1826","Dar al Gani 706","Found",1999,108,16.38333,27,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L4"
"1827","Dar al Gani 707","Found",1999,45,16.4,26.96667,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L6"
"1828","Dar al Gani 708","Found",1999,69,16.38333,27,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L6"
"1829","Dar al Gani 709","Found",1999,96,16.36667,27.01667,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L6"
"1830","Dar al Gani 710","Found",1999,252,16.36667,27.1,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H4"
"1831","Dar al Gani 711","Found",1999,15,16.43333,27.16667,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L6"
"1832","Dar al Gani 712","Found",1999,146,16.41667,26.93333,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H4"
"1833","Dar al Gani 713","Found",1999,183,16.38333,26.96667,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L6"
"1834","Dar al Gani 714","Found",1999,74,16.36667,26.96667,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L6"
"1835","Dar al Gani 715","Found",1999,98,16.36667,26.96667,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L6"
"1836","Dar al Gani 716","Found",1999,176,16.15,27.05,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H5"
"1837","Dar al Gani 717","Found",1999,706,16.13333,27.03333,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L4"
"1838","Dar al Gani 718","Found",1999,91,16.15,27.06667,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H6"
"1839","Dar al Gani 719","Found",1999,62,16.2,27.15,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L5/6"
"1840","Dar al Gani 720","Found",1999,58,16.38333,26.98333,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H6"
"1841","Dar al Gani 721","Found",1999,43,16.06667,27.06667,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L3/4"
"1842","Dar al Gani 722","Found",1999,57,16.06667,27.06667,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L6"
"1843","Dar al Gani 723","Found",1999,37,16.1,27.13333,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H5/6"
"1844","Dar al Gani 724","Found",1999,187,16.11667,27.25,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L4"
"1845","Dar al Gani 725","Found",1999,114,16.1,27.28333,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L6"
"1846","Dar al Gani 726","Found",1999,28,16.1,27.3,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L6"
"1847","Dar al Gani 727","Found",1999,43,16.41667,26.98333,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H6"
"1848","Dar al Gani 728","Found",1999,21,16.41667,27,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H5"
"1849","Dar al Gani 729","Found",1999,586,16.35,27.1,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L5/6"
"1850","Dar al Gani 730","Found",1999,227,16.31667,27.11667,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H5"
"1851","Dar al Gani 731","Found",1999,144,16.26667,27.31667,"Temperate Decidious Forest","Chondrite","Stony","Carbonaceous","CV-CK","CV","CV3"
"1852","Dar al Gani 732","Found",1999,247,16.28333,27.31667,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H4"
"1853","Dar al Gani 733","Found",1999,185,16.35,27.25,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H5"
"1854","Dar al Gani 734","Found",1997,1378,16.05,27.13183,"Temperate Decidious Forest","Chondrite","Stony","Enstatite","EH-EL","EL","EL4"
"1855","Dar al Gani 735","Found",1997,588,16.16667,27.16667,"Temperate Decidious Forest","Achondrite","Stony","Martian","SNC","Shergottite","Martian (shergottite)"
"1856","Dar al Gani 736","Found",1999,243,16.03717,27.13817,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L3"
"1857","Dar al Gani 737","Found",1998,1053,16.0645,27.1895,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L3"
"1858","Dar al Gani 738","Found",1998,257,16.05983,27.10883,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H6"
"1859","Dar al Gani 739","Found",1998,390,16.0885,27.19667,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H5"
"1860","Dar al Gani 740","Found",1998,320,16.03317,27.15433,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H5"
"1861","Dar al Gani 741","Found",1998,20500,16.28333,27.08167,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H4"
"1862","Dar al Gani 742","Found",1998,2222,16.05,27.13333,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H5"
"1863","Dar al Gani 743","Found",1998,980,16.084,27.12067,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H6"
"1864","Dar al Gani 744","Found",1998,390,16.05083,27.12833,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","LL","LL","LL6"
"1865","Dar al Gani 745","Found",1998,866,16.20167,27.305,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","LL","LL","LL6"
"1866","Dar al Gani 746","Found",1998,2300,16.10317,27.15217,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H5"
"1867","Dar al Gani 747","Found",1999,179,16.11017,27.13433,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H6"
"1868","Dar al Gani 748","Found",1998,265,16.2165,27.27867,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H5"
"1869","Dar al Gani 749","Found",1999,95000,15.7645,27.30167,"Temperate Decidious Forest","Chondrite","Stony","Carbonaceous","CM-CO","CO","CO3"
"1870","Dar al Gani 750","Found",1999,44.3,15.51833,28.24883,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L3"
"1871","Dar al Gani 751","Found",1999,315,15.87167,27.87033,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L6"
"1872","Dar al Gani 752","Found",1999,124,15.86667,27.86367,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L6"
"1873","Dar al Gani 753","Found",1999,484,15.87567,27.85117,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L6"
"1874","Dar al Gani 754","Found",1999,454,15.884,27.84983,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L6"
"1875","Dar al Gani 755","Found",1999,200,15.884,27.85,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L6"
"1876","Dar al Gani 756","Found",1999,454,15.88433,27.8425,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L6"
"1877","Dar al Gani 757","Found",1999,505,15.88533,27.8325,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L6"
"1878","Dar al Gani 758","Found",1999,2223,15.94067,27.76767,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L6"
"1879","Dar al Gani 759","Found",1999,90.5,15.86867,27.71433,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H5"
"1880","Dar al Gani 760","Found",1999,316,16.335,26.958,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L6"
"1881","Dar al Gani 761","Found",1999,158,16.38567,26.97083,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L6"
"1882","Dar al Gani 762","Found",1999,346,16.37517,26.97383,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L6"
"1883","Dar al Gani 763","Found",1999,3906,16.534,27.0155,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L5"
"1884","Dar al Gani 764","Found",1999,122,16.67183,26.90617,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L6"
"1885","Dar al Gani 765","Found",1999,194,16.566,26.94167,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","LL","LL","LL6"
"1886","Dar al Gani 766","Found",1999,1806,16.53717,26.9705,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H4"
"1887","Dar al Gani 767","Found",1999,35.8,16.51633,27.121,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L6"
"1888","Dar al Gani 768","Found",1999,77.9,16.46833,26.9835,"Temperate Decidious Forest","Achondrite","Stony","Asteroidal","H-E-D Vesta","Eucrite","Eucrite"
"1889","Dar al Gani 769","Found",1999,22.3,16.5375,26.91533,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L5"
"1890","Dar al Gani 770","Found",1999,84.6,16.57233,26.89583,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L6"
"1891","Dar al Gani 771","Found",1999,60.8,16.52217,26.91917,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H5"
"1892","Dar al Gani 772","Found",1999,8.7,16.49433,26.93217,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","LL","LL","LL3"
"1893","Dar al Gani 773","Found",1999,88.5,16.45017,26.96183,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","LL","LL","LL3"
"1894","Dar al Gani 774","Found",1999,24.9,16.478,26.94833,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H5"
"1895","Dar al Gani 775","Found",1999,596,16.44967,26.9675,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H5"
"1896","Dar al Gani 776","Found",1999,49.4,16.44533,26.98367,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H5"
"1897","Dar al Gani 777","Found",1999,124,16.44483,26.98467,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L6"
"1898","Dar al Gani 778","Found",1999,28.9,16.44433,26.991,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L3/4"
"1899","Dar al Gani 779","Found",1999,18800,16.4375,26.99233,"Temperate Decidious Forest","Achondrite","Stony","Asteroidal","H-E-D Vesta","Howardite","Howardite"
"1900","Dar al Gani 780","Found",2000,56.7,16.43717,26.98717,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H5"
"1901","Dar al Gani 781","Found",2000,13.7,16.468,27.01617,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L6"
"1902","Dar al Gani 782","Found",2000,89.9,16.469,26.9705,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H5"
"1903","Dar al Gani 783","Found",2000,84,16.46083,26.47667,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H5"
"1904","Dar al Gani 784","Found",2000,50.7,16.44,26.98333,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H5"
"1905","Dar al Gani 785","Found",2000,278,16.44283,26.99883,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","LL","LL","LL3"
"1906","Dar al Gani 786","Found",2000,243,16.434,27.01883,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L6"
"1907","Dar al Gani 787","Found",2000,32.1,16.40083,27.0415,"Temperate Decidious Forest","Achondrite","Stony","Primitive or asteroidal","-","Ureilite","Ureilite"
"1908","Dar al Gani 788","Found",2000,36.8,16.46967,26.97017,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H5"
"1909","Dar al Gani 789","Found",2000,52.7,16.4475,26.99017,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L6"
"1910","Dar al Gani 790","Found",2000,241,16.431,26.99933,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L6"
"1911","Dar al Gani 791","Found",2000,148,16.23717,27.27767,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H4"
"1912","Dar al Gani 792","Found",2000,202,16.465,26.91383,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","LL","LL","LL3"
"1913","Dar al Gani 793","Found",2000,109,16.1465,27.46367,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","LL","LL","LL6"
"1914","Dar al Gani 794","Found",2000,166,16.4505,26.99333,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H5"
"1915","Dar al Gani 795","Found",2000,27.8,16.43733,26.98717,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H5"
"1916","Dar al Gani 796","Found",2000,41.4,16.24017,27.3695,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L6"
"1917","Dar al Gani 797","Found",2000,56.7,16.44617,27.00033,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H5"
"1918","Dar al Gani 798","Found",2000,76.4,16.452,26.9945,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H5"
"1919","Dar al Gani 799","Found",2000,107,16.48967,27.03283,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H6"
"1920","Dar al Gani 800","Found",2000,96.4,16.46,27.00883,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H6"
"1921","Dar al Gani 801","Found",2000,25.2,16.40883,27.04683,"Temperate Decidious Forest","Achondrite","Stony","Primitive or asteroidal","-","Ureilite","Ureilite"
"1922","Dar al Gani 802","Found",2000,230,16.47283,27.0055,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H6"
"1923","Dar al Gani 803","Found",2000,37,16.38867,27.0145,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L6"
"1924","Dar al Gani 804","Found",2000,10.5,16.437,26.98717,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H5"
"1925","Dar al Gani 805","Found",2000,51.9,16.15783,27.54083,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L6"
"1926","Dar al Gani 806","Found",2000,48.4,16.50283,26.966,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H5"
"1927","Dar al Gani 807","Found",2000,187,16.445,27.057,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H5"
"1928","Dar al Gani 808","Found",2000,69,16.44017,26.98683,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L6"
"1929","Dar al Gani 809","Found",2000,97.8,16.43967,26.99817,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L6"
"1930","Dar al Gani 810","Found",2000,64,16.39017,26.97483,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L6"
"1931","Dar al Gani 811","Found",2000,60,16.45183,26.99417,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H5"
"1932","Dar al Gani 812","Found",2000,2022,16.4555,26.95867,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H5"
"1933","Dar al Gani 813","Found",2000,37.8,16.45217,26.994,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H5"
"1934","Dar al Gani 814","Found",2000,102,16.39783,26.99,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L4"
"1935","Dar al Gani 815","Found",2000,214,16.46167,26.98333,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H5"
"1936","Dar al Gani 816","Found",2000,71.2,16.45367,26.9945,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H5"
"1937","Dar al Gani 817","Found",2000,196,16.2795,27.41317,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H6"
"1938","Dar al Gani 818","Found",2000,110,16.467,26.97583,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","H","H","H4/5"
"1939","Dar al Gani 819","Found",2000,688,16.44683,26.99533,"Temperate Decidious Forest","Chondrite","Stony","Ordinary","L","L","L4/5"
