,Cluster,mass,fell_found,year,latitude,longitude,group,chondrite,type,lc_sample
199,3,157.0,Found,1990,27.56667,3.95,LL,Chondrite,Stony,11
200,5,361.0,Found,1991,27.49944,3.68889,H,Chondrite,Stony,11
201,5,233.0,Found,1991,27.52472,3.81139,H,Chondrite,Stony,11
202,5,29.0,Found,1991,27.57694,4.03389,H,Chondrite,Stony,11
203,4,115.0,Found,1991,27.55583,4.14,L,Chondrite,Stony,11
204,5,267.0,Found,1991,27.51694,3.79139,H,Chondrite,Stony,11
205,4,215.0,Found,1991,27.48028,3.85139,L,Chondrite,Stony,11
206,5,1301.0,Found,1991,27.50194,3.92111,H,Chondrite,Stony,11
207,4,55.0,Found,1991,27.59222,3.91806,L,Chondrite,Stony,11
208,3,389.0,Found,1991,27.50889,4.60167,CO,Chondrite,Stony,11
209,5,292.0,Found,1991,27.57806,4.36917,H,Chondrite,Stony,11
210,5,64.0,Found,1991,27.64639,3.98306,H,Chondrite,Stony,11
211,5,746.0,Found,1991,27.7375,4.32806,H,Chondrite,Stony,11
212,5,1229.0,Found,1991,27.69083,4.37861,H,Chondrite,Stony,11
213,3,105.0,Found,1991,27.68806,4.37194,CH,Chondrite,Stony,11
214,3,510.0,Found,1991,27.50472,3.88194,LL,Chondrite,Stony,11
215,3,475.0,Found,1991,27.50472,3.88194,CR,Chondrite,Stony,11
216,5,720.0,Found,1991,27.49722,3.87028,H,Chondrite,Stony,11
217,5,1009.0,Found,1991,27.46472,3.78167,H,Chondrite,Stony,11
218,5,1340.0,Found,1991,27.61278,3.71361,H,Chondrite,Stony,11
219,4,526.0,Found,1991,27.68111,4.30694,L,Chondrite,Stony,11
220,3,612.0,Found,1991,27.69,4.37861,CH,Chondrite,Stony,11
221,4,107.0,Found,1991,27.64028,4.17056,L,Chondrite,Stony,11
222,4,293.0,Found,1991,27.59972,4.90361,L,Chondrite,Stony,11
223,3,174.0,Found,1991,27.59444,3.88583,Rumuruti,Chondrite,Stony,11
224,4,114.0,Found,1991,27.54472,3.74306,L,Chondrite,Stony,11
225,5,2611.0,Found,1991,27.52139,3.79139,H,Chondrite,Stony,11
226,5,117.0,Found,1991,27.52417,3.79694,H,Chondrite,Stony,11
227,5,812.0,Found,1991,27.5325,3.81361,H,Chondrite,Stony,11
228,5,334.0,Found,1991,27.54194,3.82778,H,Chondrite,Stony,11
229,3,1398.0,Found,1991,27.54194,3.82778,LL,Chondrite,Stony,11
230,5,85.0,Found,1991,27.63889,3.93444,H,Chondrite,Stony,11
231,5,255.0,Found,1991,27.64528,3.94389,H,Chondrite,Stony,11
232,5,221.0,Found,1991,27.68444,3.99389,H,Chondrite,Stony,11
233,5,78.0,Found,1991,27.66861,4.425,H,Chondrite,Stony,11
234,4,2285.0,Found,1991,27.57389,4.11972,L,Chondrite,Stony,11
235,5,325.0,Found,1991,27.82611,4.24611,H,Chondrite,Stony,11
236,5,69.0,Found,1991,27.74056,4.30833,H,Chondrite,Stony,11
237,5,218.0,Found,1991,27.73472,4.31611,H,Chondrite,Stony,11
238,5,725.0,Found,1991,27.73944,4.32833,H,Chondrite,Stony,11
239,5,242.0,Found,1991,27.71722,4.44806,H,Chondrite,Stony,11
240,1,621.0,Found,1991,27.50111,4.09861,Iron IAB,Achondrite,Iron,11
241,5,461.0,Found,1991,27.51889,4.01667,H,Chondrite,Stony,11
242,3,81.0,Found,1991,27.51056,3.89111,LL,Chondrite,Stony,11
243,5,673.0,Found,1991,27.49167,3.83278,H,Chondrite,Stony,11
244,5,311.0,Found,1991,27.50361,3.67306,H,Chondrite,Stony,11
245,5,160.0,Found,1991,27.48444,3.66639,H,Chondrite,Stony,11
246,4,342.0,Found,1991,27.49833,3.69444,L,Chondrite,Stony,11
247,4,86.0,Found,1991,27.51583,3.72722,L,Chondrite,Stony,11
248,4,318.0,Found,1991,27.52111,3.77333,L,Chondrite,Stony,11
249,5,2045.0,Found,1991,27.52472,3.80972,H,Chondrite,Stony,11
250,5,75.0,Found,1991,27.56389,3.92639,H,Chondrite,Stony,11
251,4,923.0,Found,1991,27.69222,3.32167,L,Chondrite,Stony,11
252,4,60.0,Found,1991,27.63611,4.03139,L,Chondrite,Stony,11
253,4,402.0,Found,1991,27.63556,4.02528,L,Chondrite,Stony,11
254,5,99.0,Found,1991,27.62167,3.95361,H,Chondrite,Stony,11
255,5,382.0,Found,1991,27.55139,3.74194,H,Chondrite,Stony,11
256,3,202.0,Found,1991,27.50972,3.88056,LL,Chondrite,Stony,11
257,4,146.0,Found,1991,27.51111,3.88444,L,Chondrite,Stony,11
258,3,47.0,Found,1991,27.51361,3.89694,LL,Chondrite,Stony,11
259,4,99.0,Found,1991,27.52222,3.94694,L,Chondrite,Stony,11
260,4,124.0,Found,1991,27.64611,4.39722,L,Chondrite,Stony,11
261,5,235.0,Found,1991,27.64611,4.39722,H,Chondrite,Stony,11
262,5,75.0,Found,1991,27.68528,4.50333,H,Chondrite,Stony,11
263,5,212.0,Found,1991,27.67056,4.34611,H,Chondrite,Stony,11
264,5,114.0,Found,1991,27.52444,3.87361,H,Chondrite,Stony,11
265,5,177.0,Found,1991,27.47556,3.71028,H,Chondrite,Stony,11
266,4,73.0,Found,1991,27.70917,4.42083,L,Chondrite,Stony,11
267,5,92.0,Found,1991,27.67,4.49722,H,Chondrite,Stony,11
268,4,438.0,Found,1991,27.69111,4.3375,L,Chondrite,Stony,11
269,3,243.0,Found,1991,27.69472,4.30639,LL,Chondrite,Stony,11
270,1,83.0,Found,1991,27.715,4.19278,Mesosiderite,Achondrite,Stony-Iron,11
271,4,518.0,Found,1991,27.72722,4.17056,L,Chondrite,Stony,11
272,3,229.0,Found,1991,27.51056,3.71306,LL,Chondrite,Stony,11
273,3,764.0,Found,1991,27.51389,3.87528,LL,Chondrite,Stony,11
274,3,276.0,Found,1991,27.51472,3.86556,LL,Chondrite,Stony,11
275,3,298.0,Found,1991,27.51861,3.85722,CR,Chondrite,Stony,11
276,5,237.0,Found,1991,27.56111,4.05556,H,Chondrite,Stony,11
277,3,63.0,Found,1991,27.57028,4.075,CV,Chondrite,Stony,11
278,5,2110.0,Found,1991,27.62194,4.45556,H,Chondrite,Stony,11
279,5,203.0,Found,1991,27.63389,4.18722,H,Chondrite,Stony,11
280,5,429.0,Found,1991,27.63361,4.17306,H,Chondrite,Stony,11
281,5,99.0,Found,1991,27.63972,4.14528,H,Chondrite,Stony,11
282,1,41.0,Found,1991,27.63917,4.14278,Ureilite,Achondrite,Stony,11
283,5,72.0,Found,1991,27.63861,4.12722,H,Chondrite,Stony,11
