"","id","recclass","mass","fell_or_found","year","latitude","longitude","group","chondrite","type","lvl3","lvl4","lc_sample","weights"
"596",4944,"OC",367,"Fell",1704,41.36667,2.16667,"Chondrite","Chondrite","Stony",NA,NA,"0",71.3451083182367
"598",4946,"Mesosiderite-A1",3200,"Fell",1842,42.38333,-2.5,"Mesosiderite","Achondrite","Stony-Iron","Mesosiderite",NA,"2",0.463225690897741
"599",4947,"H5",23.2,"Fell",1904,52.73333,84.08333,"H","Chondrite","Stony","Ordinary","H","9",2.84735119047619
"600",4948,"LL4",17,"Fell",1886,52,9.1,"LL","Chondrite","Stony","Ordinary","LL","2",0.463225690897741
"601",4949,"L6",4500,"Fell",1910,31.61667,76.8,"L","Chondrite","Stony","Ordinary","L","12",0.49799067553469
"613",4954,"L5",44000,"Fell",1965,52.56528,-1.33972,"L","Chondrite","Stony","Ordinary","L","1",0.297273742080897
"614",4954,"L5",44000,"Fell",1965,52.56528,-1.33972,"L","Chondrite","Stony","Ordinary","L","1",0.297273742080897
"616",4957,"L5",15500,"Fell",1994,52.03333,20.93583,"L","Chondrite","Stony","Ordinary","L","11",0.00485781484723708
"618",4974,"H4",21000,"Fell",1892,45.41667,-98.31667,"H","Chondrite","Stony","Ordinary","H","2",0.463225690897741
"619",4975,"L6",86000,"Fell",1902,38.25,-83.75,"L","Chondrite","Stony","Ordinary","L","11",0.00485781484723708
"620",4976,"LL5",1557,"Fell",1989,11.08333,-0.18333,"LL","Chondrite","Stony","Ordinary","LL","16",1.82339952891488
"621",4977,"L6",611,"Fell",1916,36.75,-93.5,"L","Chondrite","Stony","Ordinary","L","11",0.00485781484723708
"627",4984,"H5",16000,"Fell",1929,39.8,-101.2,"H","Chondrite","Stony","Ordinary","H","2",0.463225690897741
"629",4986,"H5",14000,"Fell",1893,51.16667,-117.33333,"H","Chondrite","Stony","Ordinary","H","7",10.085732473545
"633",4993,"H5",794,"Fell",1949,53.01667,-4.1,"H","Chondrite","Stony","Ordinary","H","2",0.463225690897741
"639",5005,"C2-ung",375,"Fell",1961,33.6,-96.46667,"Chondrite","Chondrite","Stony","Carbonaceous",NA,"2",0.463225690897741
"643",5009,"OC",367,"Fell",1937,-32.33333,-64.86667,"Chondrite","Chondrite","Stony",NA,NA,"2",0.463225690897741
"645",5011,"LL4",3700,"Fell",1798,25.36667,82.91667,"LL","Chondrite","Stony","Ordinary","LL","1",0.297273742080897
"651",5018,"L6",19000,"Fell",2001,32.86667,10.8,"L","Chondrite","Stony","Ordinary","L","11",0.00485781484723708
"654",5021,"H6",1770.5,"Fell",1938,39.08333,-89.15,"H","Chondrite","Stony","Ordinary","H","2",0.463225690897741
"656",5023,"H6",3880,"Fell",1943,-26.16667,28.41667,"H","Chondrite","Stony","Ordinary","H","1",0.297273742080897
"657",5024,"LL6",45000,"Fell",2002,30,-7,"LL","Chondrite","Stony","Ordinary","LL","11",0.00485781484723708
"659",5026,"LL6",2840,"Fell",1949,45.95,-67.55,"LL","Chondrite","Stony","Ordinary","LL","10",0.461815233876118
"661",5028,"Eucrite-mmict",18000,"Fell",1924,11.65,-3.65,"Eucrite","Achondrite","Stony","Asteroidal","H-E-D Vesta","16",1.82339952891488
"662",5029,"L6",1440,"Fell",1811,41.68333,-3.8,"L","Chondrite","Stony","Ordinary","L","13",0.428663281861922
"665",5032,"H",13.9,"Fell",1859,42.53333,-73.83333,"H","Chondrite","Stony","Ordinary","H","1",0.297273742080897
"666",5032,"H",13.9,"Fell",1859,42.53333,-73.83333,"H","Chondrite","Stony","Ordinary","H","1",0.297273742080897
"668",5034,"L5",2000,"Fell",1859,43.21667,-0.23333,"L","Chondrite","Stony","Ordinary","L","11",0.00485781484723708
"669",5035,"LL3.8",1100,"Fell",1921,33.88333,35.5,"LL","Chondrite","Stony","Ordinary","LL","1",0.297273742080897
"670",5037,"L6",18,"Fell",1877,20.88333,74.83333,"L","Chondrite","Stony","Ordinary","L","1",0.297273742080897
"671",5039,"L6",100,"Fell",1893,20.83333,71.46667,"L","Chondrite","Stony","Ordinary","L","0",71.3451083182367
"672",5040,"LL3-6",1047,"Fell",1940,22.68333,90.65,"LL","Chondrite","Stony","Ordinary","LL","16",1.82339952891488
"673",5041,"Howardite",2500,"Fell",1905,22.08333,86.9,"Howardite","Achondrite","Stony","Asteroidal","H-E-D Vesta","1",0.297273742080897
"674",5042,"Eucrite-pmict",4000,"Fell",1827,53.1,23.2,"Eucrite","Achondrite","Stony","Asteroidal","H-E-D Vesta","10",0.461815233876118
"675",5043,"H4",1900,"Fell",1887,50.13333,27.16667,"H","Chondrite","Stony","Ordinary","H","11",0.00485781484723708
"677",5045,"Diogenite",25000,"Fell",1999,12.45,-0.08333,"Diogenite","Achondrite","Stony","Asteroidal","H-E-D Vesta","11",0.00485781484723708
"682",5051,"H5",488.1,"Fell",1984,-33.15639,115.67639,"H","Chondrite","Stony","Ordinary","H","1",0.297273742080897
"686",5056,"H4",560,"Fell",1923,13.76667,5.3,"H","Chondrite","Stony","Ordinary","H","2",0.463225690897741
"689",5059,"Aubrite",6000,"Fell",1843,34.16667,-80.28333,"Aubrite","Achondrite","Stony","Asteroidal",NA,"12",0.49799067553469
"690",5060,"LL3.15",1039,"Fell",1895,25.38333,82.6,"LL","Chondrite","Stony","Ordinary","LL","1",0.297273742080897
"693",5063,"H6",1850,"Fell",1796,49.78333,30.16667,"H","Chondrite","Stony","Ordinary","H","1",0.297273742080897
"694",5064,"L/LL4",330000,"Fell",1899,60.4,25.8,"LL","Chondrite","Stony","Ordinary","LL","0",71.3451083182367
"695",5065,"L5",705,"Fell",1941,40.91667,-78.08333,"L","Chondrite","Stony","Ordinary","L","2",0.463225690897741
"698",5068,"L5",2381,"Fell",1906,36.83333,-97.33333,"L","Chondrite","Stony","Ordinary","L","1",0.297273742080897
"701",5071,"L6",5100,"Fell",1909,31.83333,-98.83333,"L","Chondrite","Stony","Ordinary","L","2",0.463225690897741
"702",5072,"H6",470,"Fell",1833,49.36667,16.63333,"H","Chondrite","Stony","Ordinary","H","1",0.297273742080897
"705",5076,"LL6",67.8,"Fell",1938,40.48,-89.00417,"LL","Chondrite","Stony","Ordinary","LL","1",0.297273742080897
"719",5090,"LL3.9",7500,"Fell",1977,33.83333,115.83333,"LL","Chondrite","Stony","Ordinary","LL","1",0.297273742080897
"722",5093,"L6",56,"Fell",1804,23,-102,"L","Chondrite","Stony","Ordinary","L","15",0.406210536590808
"726",5097,"Iron, IAB-MG",8800,"Fell",1962,12.5,0.7,"Iron IAB","Achondrite","Iron","Non-magmatic","Primative","15",0.406210536590808
"727",5098,"Iron, IIAB",256000,"Fell",1916,44.55,131.63333,"Iron IIAB","Achondrite","Iron","Magmatic","Siderite","9",2.84735119047619
"738",5110,"LL6",1676,"Fell",1808,44.86667,10.05,"LL","Chondrite","Stony","Ordinary","LL","2",0.463225690897741
"739",5111,"L6",8600,"Fell",1894,21.95,78.03333,"L","Chondrite","Stony","Ordinary","L","16",1.82339952891488
"740",5112,"CM2",1342,"Fell",1930,54.23333,52.48333,"CM","Chondrite","Stony","Carbonaceous","CM-CO","1",0.297273742080897
"741",5113,"L5",7000,"Fell",1852,48.15,24.28333,"L","Chondrite","Stony","Ordinary","L","9",2.84735119047619
"742",5114,"H5",500,"Fell",1812,55.46667,35.86667,"H","Chondrite","Stony","Ordinary","H","1",0.297273742080897
"745",5117,"L4",614,"Fell",1823,51.33333,33.88333,"L","Chondrite","Stony","Ordinary","L","10",0.461815233876118
"749",5121,"L3",5460,"Fell",1969,54.56667,-6.33333,"L","Chondrite","Stony","Ordinary","L","0",71.3451083182367
"755",5128,"L",762,"Fell",1886,40.5,-80.08333,"L","Chondrite","Stony","Ordinary","L","1",0.297273742080897
"760",5133,"Iron, IIAB",39000,"Fell",1847,50.6,16.3,"Iron IIAB","Achondrite","Iron","Magmatic","Siderite","10",0.461815233876118
"761",5134,"H5",1500,"Fell",1956,50.66694,8.18361,"H","Chondrite","Stony","Ordinary","H","11",0.00485781484723708
"762",5135,"H/L3.9",7250,"Fell",1855,53.4,9.1,"H,L, or LL","Chondrite","Stony","Ordinary",NA,"11",0.00485781484723708
"766",5140,"Eucrite-pmict",219,"Fell",1933,52.13333,59.31667,"Eucrite","Achondrite","Stony","Asteroidal","H-E-D Vesta","2",0.463225690897741
"782",5156,"L6",303000,"Fell",1960,53.9,-112.88333,"L","Chondrite","Stony","Ordinary","L","1",0.297273742080897
"788",5165,"Howardite",357,"Fell",1942,10.01667,9.58333,"Howardite","Achondrite","Stony","Asteroidal","H-E-D Vesta","2",0.463225690897741
"792",5169,"H5",120000,"Fell",1919,5,48,"H","Chondrite","Stony","Ordinary","H","0",71.3451083182367
"798",5175,"H4-an",1504,"Fell",1990,37.62194,-82.23722,"H","Chondrite","Stony","Ordinary","H","11",0.00485781484723708
"800",5177,"L6",25000,"Fell",1946,40.2,29.23333,"L","Chondrite","Stony","Ordinary","L","1",0.297273742080897
"801",5178,"L6",5000,"Fell",1863,46.45,25.78333,"L","Chondrite","Stony","Ordinary","L","10",0.461815233876118
"804",5181,"Aubrite",1500,"Fell",1852,26.78333,82.83333,"Aubrite","Achondrite","Stony","Asteroidal",NA,"1",0.297273742080897
"806",5183,"H6",29000,"Fell",1861,27.08333,84.08333,"H","Chondrite","Stony","Ordinary","H","16",1.82339952891488
"807",5185,"L/LL6",25000,"Fell",1870,37.98333,-1.16667,"LL","Chondrite","Stony","Ordinary","LL","15",0.406210536590808
"808",5186,"Iron, IIIAB",48500,"Fell",1886,35.5,-93.5,"Iron IIIAB","Achondrite","Iron","Magmatic","Siderite","12",0.49799067553469
"809",5187,"OC",212,"Fell",1919,43.83889,20.33333,"Chondrite","Chondrite","Stony",NA,NA,"10",0.461815233876118
"819",5200,"Stone-uncl",2400,"Fell",1916,11.75,122.33333,"Stony",NA,"Stony",NA,NA,"1",0.297273742080897
"865",5249,"L5",23680,"Fell",1991,-7.03333,-40.16667,"L","Chondrite","Stony","Ordinary","L","11",0.00485781484723708
"866",5250,"L6",4000,"Fell",1964,39.8,26.6,"L","Chondrite","Stony","Ordinary","L","13",0.428663281861922
"867",5251,"H4",945,"Fell",1861,41.25,1.66667,"H","Chondrite","Stony","Ordinary","H","1",0.297273742080897
"868",5252,"H5",34000,"Fell",1866,43.38333,-5.15,"H","Chondrite","Stony","Ordinary","H","1",0.297273742080897
"869",5253,"H6",1400,"Fell",1973,38.47028,-105.24139,"H","Chondrite","Stony","Ordinary","H","13",0.428663281861922
"875",5260,"H6",2300,"Fell",1846,37.26667,-89.58333,"H","Chondrite","Stony","Ordinary","H","11",0.00485781484723708
"878",5264,"H6",750,"Fell",1934,-30.88333,-64.55,"H","Chondrite","Stony","Ordinary","H","2",0.463225690897741
"879",5265,"LL6",8,"Fell",1902,38.5,27,"LL","Chondrite","Stony","Ordinary","LL","15",0.406210536590808
"901",5291,"H5",7300,"Fell",1874,36.08333,-78.06667,"H","Chondrite","Stony","Ordinary","H","11",0.00485781484723708
"902",5292,"Stone-uncl",367,"Fell",1791,43.35,11.5,"Stony",NA,"Stony",NA,NA,"11",0.00485781484723708
"903",5293,"L6",94,"Fell",1848,44.38333,-68.75,"L","Chondrite","Stony","Ordinary","L","10",0.461815233876118
"905",5295,"Stone-uncl",15000,"Fell",1583,39.8,16.2,"Stony",NA,"Stony",NA,NA,"15",0.406210536590808
"906",5296,"OC",1360,"Fell",1810,36.5,-79.25,"Chondrite","Chondrite","Stony",NA,NA,"11",0.00485781484723708
"915",5306,"L3.7",1025,"Fell",1988,26.46667,-105.23333,"L","Chondrite","Stony","Ordinary","L","2",0.463225690897741
"916",5307,"H5",45.6,"Fell",1956,43.2,-96.91667,"H","Chondrite","Stony","Ordinary","H","1",0.297273742080897
"917",5308,"H5",6460,"Fell",1840,45.08333,8.3,"H","Chondrite","Stony","Ordinary","H","2",0.463225690897741
"920",5313,"L6",3700,"Fell",1998,28.53333,109.31667,"L","Chondrite","Stony","Ordinary","L","11",0.00485781484723708
"921",5314,"H6",0.5,"Fell",1814,25.36667,81.66667,"H","Chondrite","Stony","Ordinary","H","1",0.297273742080897
"922",5315,"LL3.4",8200,"Fell",1907,25.85,83.48333,"LL","Chondrite","Stony","Ordinary","LL","1",0.297273742080897
"923",5316,"L5",18300,"Fell",1933,-30.78333,-58.05,"L","Chondrite","Stony","Ordinary","L","2",0.463225690897741
"927",5320,"L5",8800,"Fell",1838,20.26667,76.01667,"L","Chondrite","Stony","Ordinary","L","2",0.463225690897741
"928",5321,"L6",1100,"Fell",1885,27.28333,79.05,"L","Chondrite","Stony","Ordinary","L","1",0.297273742080897
"929",5322,"H5",1810,"Fell",1977,29.08333,111.75,"H","Chondrite","Stony","Ordinary","H","1",0.297273742080897
"932",5325,"L6",31500,"Fell",1812,46.68333,1.05,"L","Chondrite","Stony","Ordinary","L","11",0.00485781484723708
"934",5328,"Iron, IVA",4300,"Fell",1835,36.16667,-87.33333,"Iron IVA","Achondrite","Iron","Magmatic","Siderite","11",0.00485781484723708
"935",5329,"H6",27000,"Fell",1810,47.93333,1.56667,"H","Chondrite","Stony","Ordinary","H","2",0.463225690897741
"936",5330,"H6",12000,"Fell",1834,29.48333,75.5,"H","Chondrite","Stony","Ordinary","H","1",0.297273742080897
"937",5331,"Martian (chassignite)",4000,"Fell",1815,47.71667,5.36667,"Chassignite","Achondrite","Stony","Martian","SNC","11",0.00485781484723708
"938",5332,"L6",30000,"Fell",1841,47.93333,2.91667,"L","Chondrite","Stony","Ordinary","L","11",0.00485781484723708
"939",5334,"Howardite",2945,"Fell",1925,41.93333,-7.46667,"Howardite","Achondrite","Stony","Asteroidal","H-E-D Vesta","1",0.297273742080897
"942",5338,"H4",2936,"Fell",1988,-3.66667,32.5,"H","Chondrite","Stony","Ordinary","H","2",0.463225690897741
"943",5339,"H4",6000,"Fell",1964,53.7,30.1,"H","Chondrite","Stony","Ordinary","H","10",0.461815233876118
"944",5340,"LL6",8400,"Fell",1933,35.03333,-81.88333,"LL","Chondrite","Stony","Ordinary","LL","12",0.49799067553469
"945",5341,"L5",705,"Fell",1901,46.55,6.81667,"L","Chondrite","Stony","Ordinary","L","2",0.463225690897741
"946",5342,"Eucrite-mmict",1700,"Fell",1939,50.83333,34,"Eucrite","Achondrite","Stony","Asteroidal","H-E-D Vesta","1",0.297273742080897
"948",5344,"Stone-uncl",72,"Fell",1880,14.5,76.5,"Stony",NA,"Stony",NA,NA,"1",0.297273742080897
"949",5345,"H6",367,"Fell",1981,17.9,101.63333,"H","Chondrite","Stony","Ordinary","H","16",1.82339952891488
"953",5349,"LL6",303,"Fell",1938,40.93333,-79.73333,"LL","Chondrite","Stony","Ordinary","LL","1",0.297273742080897
"959",5355,"Iron, IIIAB",3920,"Fell",1988,-10.05944,33.395,"Iron IIIAB","Achondrite","Iron","Magmatic","Siderite","2",0.463225690897741
"960",5356,"L6",367,"Fell",1966,-17.35,13.96667,"L","Chondrite","Stony","Ordinary","L","2",0.463225690897741
"961",5357,"L6",4000,"Fell",1978,47.47083,0.97667,"L","Chondrite","Stony","Ordinary","L","1",0.297273742080897
"966",5364,"L5",1600,"Fell",1979,-6.95,108.1,"L","Chondrite","Stony","Ordinary","L","1",0.297273742080897
"975",5374,"L6",1455,"Fell",1984,32.1025,-81.87278,"L","Chondrite","Stony","Ordinary","L","2",0.463225690897741
"994",5395,"L6",104000,"Fell",1917,44.9,-90.28333,"L","Chondrite","Stony","Ordinary","L","1",0.297273742080897
"996",5397,"CM2",5200,"Fell",1838,-33.13333,19.38333,"CM","Chondrite","Stony","Carbonaceous","CM-CO","15",0.406210536590808
"1000",5401,"L6",469,"Fell",1994,43.76111,-84.50778,"L","Chondrite","Stony","Ordinary","L","11",0.00485781484723708
"1002",5403,"H5",5000,"Fell",1890,42.53333,12.61667,"H","Chondrite","Stony","Ordinary","H","11",0.00485781484723708
"1022",5418,"H4",20350,"Fell",1965,-19.85,-47.55,"H","Chondrite","Stony","Ordinary","H","2",0.463225690897741
"1051",5451,"H5",1200,"Fell",1844,21.16667,-100.86667,"H","Chondrite","Stony","Ordinary","H","2",0.463225690897741
"1065",5465,"L6",1460,"Fell",1917,10.2,76.26667,"L","Chondrite","Stony","Ordinary","L","16",1.82339952891488
"1068",5470,"CM2",78.4,"Fell",1936,35.95,-97.58333,"CM","Chondrite","Stony","Carbonaceous","CM-CO","1",0.297273742080897
"1071",5474,"H5",3650,"Fell",1877,-27.7,27.3,"H","Chondrite","Stony","Ordinary","H","2",0.463225690897741
"1073",5476,"H5",167,"Fell",1892,35.63333,-78.13333,"H","Chondrite","Stony","Ordinary","H","1",0.297273742080897
"1074",5477,"L5",4255,"Fell",1902,54.61667,-6.21667,"L","Chondrite","Stony","Ordinary","L","0",71.3451083182367
"1092",5496,"Aubrite",17000,"Fell",1919,36.83333,-84.35,"Aubrite","Achondrite","Stony","Asteroidal",NA,"11",0.00485781484723708
"1095",5500,"L/LL4",6000,"Fell",1877,38.4,-84.25,"LL","Chondrite","Stony","Ordinary","LL","11",0.00485781484723708
"1099",5504,"LL6",18000,"Fell",1981,35.61667,8.83333,"LL","Chondrite","Stony","Ordinary","LL","2",0.463225690897741
"1106",5511,"L6",5650,"Fell",1878,26.91667,83.96667,"L","Chondrite","Stony","Ordinary","L","1",0.297273742080897
"1108",5513,"EL6",1064,"Fell",1868,-28.2,24.56667,"EL","Chondrite","Stony","Enstatite","EH-EL","2",0.463225690897741
"1109",5514,"L6",2000,"Fell",1868,34.4,-87.06667,"L","Chondrite","Stony","Ordinary","L","12",0.49799067553469
"2174",6603,"H5",100,"Fell",1804,49.86667,8.65,"H","Chondrite","Stony","Ordinary","H","11",0.00485781484723708
"2175",6604,"H5",7000,"Fell",1998,41.98444,59.685,"H","Chondrite","Stony","Ordinary","H","11",0.00485781484723708
"2182",6621,"H6",340,"Fell",1887,43,-80,"H","Chondrite","Stony","Ordinary","H","0",71.3451083182367
"2195",6634,"L6",28,"Fell",1829,40.25,-74,"L","Chondrite","Stony","Ordinary","L","0",71.3451083182367
"2203",6642,"L5",0.8,"Fell",1897,28.56667,77.25,"L","Chondrite","Stony","Ordinary","L","1",0.297273742080897
"2209",6649,"L6",16400,"Fell",1911,51.46667,84.76667,"L","Chondrite","Stony","Ordinary","L","8",9.36101905684755
"2218",6660,"L6",230,"Fell",1967,39.7825,-104.93056,"L","Chondrite","Stony","Ordinary","L","1",0.297273742080897
"2222",6664,"H5",12500,"Fell",2001,26.68333,93.86667,"H","Chondrite","Stony","Ordinary","H","11",0.00485781484723708
"2224",6693,"H6",25400,"Fell",1962,25.73333,73.61667,"H","Chondrite","Stony","Ordinary","H","2",0.463225690897741
"2225",6694,"H3.8",12000,"Fell",2001,19,81,"H","Chondrite","Stony","Ordinary","H","11",0.00485781484723708
"2227",6696,"L6",1140,"Fell",1994,24.225,76.525,"L","Chondrite","Stony","Ordinary","L","11",0.00485781484723708
"2229",6698,"H3.8",45000,"Fell",1976,22.37778,71.42722,"H","Chondrite","Stony","Ordinary","H","15",0.406210536590808
"2230",6699,"OC",1800,"Fell",1848,14.88333,75.6,"Chondrite","Chondrite","Stony",NA,NA,"1",0.297273742080897
"3171",7640,"LL6",32000,"Fell",1860,32.23333,76.46667,"LL","Chondrite","Stony","Ordinary","LL","11",0.00485781484723708
"3173",7642,"L6",1000,"Fell",1906,-33.75,18.56667,"L","Chondrite","Stony","Ordinary","L","1",0.297273742080897
"3180",7649,"H4",400,"Fell",1957,-31.88333,-60.46667,"H","Chondrite","Stony","Ordinary","H","2",0.463225690897741
"3183",7652,"H6",166000,"Fell",1884,-7.5,111.5,"H","Chondrite","Stony","Ordinary","H","1",0.297273742080897
"3187",7656,"H",3950,"Fell",1961,12.73333,15.05,"H","Chondrite","Stony","Ordinary","H","2",0.463225690897741
"3188",7657,"H5-6",10000,"Fell",1999,36.95,9.55,"H","Chondrite","Stony","Ordinary","H","11",0.00485781484723708
"3189",7658,"H5",3840,"Fell",1903,23.5,90.33333,"H","Chondrite","Stony","Ordinary","H","16",1.82339952891488
"3190",7659,"L6",1600,"Fell",1864,50.75,25.3,"L","Chondrite","Stony","Ordinary","L","10",0.461815233876118
"3192",7661,"L5",438,"Fell",1907,40,29,"L","Chondrite","Stony","Ordinary","L","1",0.297273742080897
"3193",7706,"Mesosiderite",128800,"Fell",1995,45.5,119.03333,"Mesosiderite","Achondrite","Stony-Iron","Mesosiderite",NA,"11",0.00485781484723708
"3194",7707,"H6",230,"Fell",1899,21.86667,82.45,"H","Chondrite","Stony","Ordinary","H","2",0.463225690897741
"3195",7708,"LL6",5500,"Fell",1970,32.91667,120.78333,"LL","Chondrite","Stony","Ordinary","LL","1",0.297273742080897
"3203",7718,"H5-7",3891,"Fell",1805,51.2,112.3,"H","Chondrite","Stony","Ordinary","H","8",9.36101905684755
"3206",7722,"L6",1250,"Fell",1962,13.05,3.16667,"L","Chondrite","Stony","Ordinary","L","15",0.406210536590808
"3207",7723,"LL6",1161,"Fell",1932,32.33333,-6.3,"LL","Chondrite","Stony","Ordinary","LL","2",0.463225690897741
"3209",7725,"Stone-uncl",642,"Fell",1976,-13.66667,33.91667,"Stony",NA,"Stony",NA,NA,"1",0.297273742080897
"3211",7728,"L6",5000,"Fell",1827,36.4,-86.5,"L","Chondrite","Stony","Ordinary","L","11",0.00485781484723708
"3214",7731,"H6",47700,"Fell",1939,42.52,-82.26,"H","Chondrite","Stony","Ordinary","H","1",0.297273742080897
"3219",7736,"L3-6",1900,"Fell",1951,42.45833,18.44167,"L","Chondrite","Stony","Ordinary","L","0",71.3451083182367
"3226",7743,"L6",30,"Fell",1999,-31.66667,152.83333,"L","Chondrite","Stony","Ordinary","L","11",0.00485781484723708
"3228",7745,"H5",2270,"Fell",1865,52.55,-8.03333,"H","Chondrite","Stony","Ordinary","H","2",0.463225690897741
"3231",7749,"Stone-uncl",367,"Fell",1976,43.33333,128.25,"Stony",NA,"Stony",NA,NA,"2",0.463225690897741
"3232",7750,"L6",13200,"Fell",1815,30.3,76.63333,"L","Chondrite","Stony","Ordinary","L","1",0.297273742080897
"3233",7752,"L6",577,"Fell",1853,-4,39.5,"L","Chondrite","Stony","Ordinary","L","0",71.3451083182367
"3235",7754,"L6",2117,"Fell",1943,33.43333,127.26667,"L","Chondrite","Stony","Ordinary","L","0",71.3451083182367
"3236",7755,"H4-6",3230,"Fell",1970,-27.2,31.31667,"H","Chondrite","Stony","Ordinary","H","2",0.463225690897741
"3238",7757,"Ureilite",300,"Fell",1872,26.25,82,"Ureilite","Achondrite","Stony","Primitive or asteroidal",NA,"1",0.297273742080897
"3239",7758,"Mesosiderite-A1",188,"Fell",1933,-3,151,"Mesosiderite","Achondrite","Stony-Iron","Mesosiderite",NA,"0",71.3451083182367
"3241",7760,"EL6",10000,"Fell",1947,40.78167,-96.47167,"EL","Chondrite","Stony","Enstatite","EH-EL","1",0.297273742080897
"3250",7774,"H5",2400,"Fell",1961,-17.3,15.83333,"H","Chondrite","Stony","Ordinary","H","2",0.463225690897741
"3251",7775,"H5",3000,"Fell",1785,48.9,11.21667,"H","Chondrite","Stony","Ordinary","H","2",0.463225690897741
"3252",7776,"H4",3336,"Fell",1939,56.03333,13,"H","Chondrite","Stony","Ordinary","H","1",0.297273742080897
"3253",7777,"H6",840,"Fell",1916,28.26667,78.78333,"H","Chondrite","Stony","Ordinary","H","1",0.297273742080897
"3283",7807,"L6",10000,"Fell",1989,34.41667,3.25,"L","Chondrite","Stony","Ordinary","L","2",0.463225690897741
"3294",7819,"L6",5000,"Fell",1993,19.96722,-103.05167,"L","Chondrite","Stony","Ordinary","L","11",0.00485781484723708
"3297",7822,"LL6",680.5,"Fell",1998,39.24667,-104.58817,"LL","Chondrite","Stony","Ordinary","LL","11",0.00485781484723708
"3298",7823,"Iron, IID",107000,"Fell",1399,50.18333,12.73333,"Iron IID","Achondrite","Iron","Magmatic","Siderite","10",0.461815233876118
"3299",7824,"L5",54640,"Fell",1951,47.83333,37.66667,"L","Chondrite","Stony","Ordinary","L","11",0.00485781484723708
"3313",10019,"Diogenite",1470,"Fell",1925,51.75,4,"Diogenite","Achondrite","Stony","Asteroidal","H-E-D Vesta","1",0.297273742080897
"3325",10033,"Eucrite-mmict",127,"Fell",1900,-29.46667,151.61667,"Eucrite","Achondrite","Stony","Asteroidal","H-E-D Vesta","2",0.463225690897741
"3330",10038,"H5",8000,"Fell",1974,30.3,109.5,"H","Chondrite","Stony","Ordinary","H","2",0.463225690897741
"3331",10039,"LL6",127000,"Fell",1491,47.86667,7.35,"LL","Chondrite","Stony","Ordinary","LL","11",0.00485781484723708
"3332",10041,"H5",277,"Fell",1822,48.18333,6.46667,"H","Chondrite","Stony","Ordinary","H","1",0.297273742080897
"3333",10042,"CM2",113,"Fell",1940,19.03333,81.89167,"CM","Chondrite","Stony","Carbonaceous","CM-CO","16",1.82339952891488
"3334",10043,"Howardite",107.2,"Fell",1911,40.3,44.5,"Howardite","Achondrite","Stony","Asteroidal","H-E-D Vesta","2",0.463225690897741
"3335",10044,"L5",20000,"Fell",1889,1.16667,44.16667,"L","Chondrite","Stony","Ordinary","L","0",71.3451083182367
"3339",10049,"H6",2250,"Fell",1812,52.21667,11.25,"H","Chondrite","Stony","Ordinary","H","11",0.00485781484723708
"3341",10051,"L6",1500,"Fell",1837,46.25,-1.1,"L","Chondrite","Stony","Ordinary","L","2",0.463225690897741
"3345",10055,"C2-ung",500,"Fell",1957,2.88333,30.83333,"Chondrite","Chondrite","Stony","Carbonaceous",NA,"17",3.8504410331384
"3348",10059,"Mesosiderite-A3/4",320000,"Fell",1879,43.41667,-94.83333,"Mesosiderite","Achondrite","Stony-Iron","Mesosiderite",NA,"2",0.463225690897741
"3361",10074,"L5",89400,"Fell",1890,39.75,-97.03333,"L","Chondrite","Stony","Ordinary","L","2",0.463225690897741
"3362",10075,"H4",56000,"Fell",1934,35.55,-77.53333,"H","Chondrite","Stony","Ordinary","H","1",0.297273742080897
"3365",10078,"H5",1500,"Fell",1844,44.38333,2.81667,"H","Chondrite","Stony","Ordinary","H","11",0.00485781484723708
"3366",10079,"H4",2360,"Fell",1934,36.05,-94.16667,"H","Chondrite","Stony","Ordinary","H","11",0.00485781484723708
"3367",10080,"H4",380,"Fell",1875,36.88333,8.45,"H","Chondrite","Stony","Ordinary","H","15",0.406210536590808
"3368",10081,"CO3.3",3200,"Fell",1900,32.53333,-87.16667,"CO","Chondrite","Stony","Carbonaceous","CM-CO","12",0.49799067553469
"3373",10086,"H5",82,"Fell",1924,34.6,116.75,"H","Chondrite","Stony","Ordinary","H","1",0.297273742080897
"3375",10088,"OC",220,"Fell",1889,36.1,-81.41667,"Chondrite","Chondrite","Stony",NA,NA,"11",0.00485781484723708
"3378",10091,"H3-5",10200,"Fell",1996,43.18111,13.75333,"H","Chondrite","Stony","Ordinary","H","11",0.00485781484723708
"3383",10107,"L6",17600,"Fell",1894,47.81667,-96.85,"L","Chondrite","Stony","Ordinary","L","9",2.84735119047619
"3387",10111,"H3",3640,"Fell",1922,30.83333,-97.76667,"H","Chondrite","Stony","Ordinary","H","1",0.297273742080897
"3395",10119,"H5",152000,"Fell",1890,43.25,-93.66667,"H","Chondrite","Stony","Ordinary","H","2",0.463225690897741
"3396",10120,"H4",26000,"Fell",1942,-33.35,146.85833,"H","Chondrite","Stony","Ordinary","H","2",0.463225690897741
"3399",10123,"L6",6067,"Fell",1924,36.78333,-78.08333,"L","Chondrite","Stony","Ordinary","L","11",0.00485781484723708
"3439",10163,"H6",240,"Fell",1900,50.95,7.31667,"H","Chondrite","Stony","Ordinary","H","1",0.297273742080897
"3440",10164,"L6",16300,"Fell",1829,33.01667,-83.96667,"L","Chondrite","Stony","Ordinary","L","12",0.49799067553469
