"","id","recclass","mass","fell_or_found","year","latitude","longitude","group","chondrite","type","lvl3","lvl4","lc_sample","weights"
"4766",15446,"L6",19000,"Fell",1768,48.18333,13.13333,"L","Chondrite","Stony","Ordinary","L","1",0.297273742080897
"4767",15447,"L6",220,"Fell",1801,-20,57,"L","Chondrite","Stony","Ordinary","L","0",71.3451083182367
"4771",15451,"Aubrite",4850,"Fell",1974,8.96667,12.08333,"Aubrite","Achondrite","Stony","Asteroidal",NA,"2",0.463225690897741
"4773",15453,"Iron, IAB-sLL",4000,"Fell",1885,24.68333,-101.68333,"Iron IAB","Achondrite","Iron","Non-magmatic","Primative","15",0.406210536590808
"4774",15454,"L6",4975,"Fell",1942,-1.21667,30,"L","Chondrite","Stony","Ordinary","L","2",0.463225690897741
"4775",15455,"L5/6",150000,"Fell",1992,1.06667,34.16667,"L","Chondrite","Stony","Ordinary","L","11",0.00485781484723708
"4786",15467,"Eucrite-cm",31,"Fell",1953,-27.25,-67.5,"Eucrite","Achondrite","Stony","Asteroidal","H-E-D Vesta","13",0.428663281861922
"4787",15469,"H5",22,"Fell",1861,29.01667,77.8,"H","Chondrite","Stony","Ordinary","H","1",0.297273742080897
"4788",15470,"H5",24750,"Fell",1915,-6.23333,106.88333,"H","Chondrite","Stony","Ordinary","H","1",0.297273742080897
"4789",15470,"H5",24750,"Fell",1915,-6.23333,106.88333,"H","Chondrite","Stony","Ordinary","H","1",0.297273742080897
"4802",15485,"H4",10500,"Fell",1862,53.18333,13.15,"H","Chondrite","Stony","Ordinary","H","11",0.00485781484723708
"4803",15486,"L5",28.9,"Fell",1903,46.81867,7.21817,"L","Chondrite","Stony","Ordinary","L","2",0.463225690897741
"4806",15489,"L6",4000,"Fell",1878,55.05,12.06667,"L","Chondrite","Stony","Ordinary","L","11",0.00485781484723708
"4808",15492,"H5",71400,"Fell",1920,25.48333,81.98333,"H","Chondrite","Stony","Ordinary","H","1",0.297273742080897
"4811",15495,"L5",2405,"Fell",1955,38.18333,15.56667,"L","Chondrite","Stony","Ordinary","L","0",71.3451083182367
"4812",15495,"L5",2405,"Fell",1955,38.18333,15.56667,"L","Chondrite","Stony","Ordinary","L","0",71.3451083182367
"4814",16626,"L6",870,"Fell",1897,50.58333,11.1,"L","Chondrite","Stony","Ordinary","L","2",0.463225690897741
"4815",16627,"L6",1300,"Fell",1949,45.76667,3.25,"L","Chondrite","Stony","Ordinary","L","11",0.00485781484723708
