"","name","id","nametype","recclass","mass_in_grams","fell_or_found","year","latitude","longitude","GeoLocation"
"8729","Dominion Range 08286",54064,"Valid","LL6",9.5,"Found",2008,0,0,"(0.0, 0.0)"
"8730","Dominion Range 08287",54065,"Valid","LL6",12.6,"Found",2008,0,0,"(0.0, 0.0)"
"8731","Dominion Range 08288",54066,"Valid","L6",14,"Found",2008,0,0,"(0.0, 0.0)"
"8732","Dominion Range 08289",54067,"Valid","LL6",6.4,"Found",2008,0,0,"(0.0, 0.0)"
"8733","Dominion Range 08290",54068,"Valid","LL6",24.8,"Found",2008,0,0,"(0.0, 0.0)"
"8734","Dominion Range 08291",54069,"Valid","LL6",28.7,"Found",2008,0,0,"(0.0, 0.0)"
"8735","Dominion Range 08292",54070,"Valid","LL5",29.2,"Found",2008,0,0,"(0.0, 0.0)"
"8736","Dominion Range 08293",54071,"Valid","LL6",20.8,"Found",2008,0,0,"(0.0, 0.0)"
"8737","Dominion Range 08294",54072,"Valid","L6",28.7,"Found",2008,0,0,"(0.0, 0.0)"
"8738","Dominion Range 08295",54073,"Valid","H5",28.5,"Found",2008,0,0,"(0.0, 0.0)"
"8739","Dominion Range 08296",54074,"Valid","L6",23.7,"Found",2008,0,0,"(0.0, 0.0)"
"8740","Dominion Range 08297",54075,"Valid","LL6",57.1,"Found",2008,0,0,"(0.0, 0.0)"
"8741","Dominion Range 08298",54076,"Valid","LL6",23.9,"Found",2008,0,0,"(0.0, 0.0)"
"8742","Dominion Range 08299",54077,"Valid","LL6",22.2,"Found",2008,0,0,"(0.0, 0.0)"
"8743","Dominion Range 08300",54078,"Valid","LL6",9.7,"Found",2008,0,0,"(0.0, 0.0)"
"8744","Dominion Range 08302",54079,"Valid","L6",15.6,"Found",2008,0,0,"(0.0, 0.0)"
"8745","Dominion Range 08303",54080,"Valid","L6",11.1,"Found",2008,0,0,"(0.0, 0.0)"
"8746","Dominion Range 08304",54081,"Valid","L5",5.4,"Found",2008,0,0,"(0.0, 0.0)"
"8747","Dominion Range 08305",54082,"Valid","L5",5.6,"Found",2008,0,0,"(0.0, 0.0)"
"8748","Dominion Range 08306",53086,"Valid","L6",13.3,"Found",2008,0,0,"(0.0, 0.0)"
"8749","Dominion Range 08307",54083,"Valid","L5",9.6,"Found",2008,0,0,"(0.0, 0.0)"
"8750","Dominion Range 08308",54084,"Valid","L6",2.8,"Found",2008,0,0,"(0.0, 0.0)"
"8751","Dominion Range 08309",54085,"Valid","LL6",9.2,"Found",2008,0,0,"(0.0, 0.0)"
"8752","Dominion Range 08310",54086,"Valid","LL6",4.9,"Found",2008,0,0,"(0.0, 0.0)"
"8753","Dominion Range 08311",54087,"Valid","L6",3.4,"Found",2008,0,0,"(0.0, 0.0)"
"8754","Dominion Range 08312",53087,"Valid","LL6",12.9,"Found",2008,0,0,"(0.0, 0.0)"
"8755","Dominion Range 08313",54088,"Valid","L5",18.5,"Found",2008,0,0,"(0.0, 0.0)"
"8756","Dominion Range 08314",54089,"Valid","L6",12.9,"Found",2008,0,0,"(0.0, 0.0)"
"8757","Dominion Range 08315",54090,"Valid","L6",7.3,"Found",2008,0,0,"(0.0, 0.0)"
"8758","Dominion Range 08316",53088,"Valid","LL6",20.3,"Found",2008,0,0,"(0.0, 0.0)"
"8759","Dominion Range 08317",54091,"Valid","L6",28.2,"Found",2008,0,0,"(0.0, 0.0)"
"8760","Dominion Range 08318",54092,"Valid","L5",7.1,"Found",2008,0,0,"(0.0, 0.0)"
