,name,id,nametype,recclass,mass_in_grams,fell_or_found,year,latitude,longitude,GeoLocation,group
1748,Bethel (a),5030,Valid,OC,18.3,Found,1968,34.23333,-103.38333,"(34.23333, -103.38333)",Chon
1859,Bronco,5147,Valid,OC,972.0,Found,1971,33.28333,-102.96667,"(33.28333, -102.96667)",Chon
1860,Bronco (b),5148,Valid,OC,101.0,Found,1980,33.275,-102.96,"(33.275, -102.96)",Chon
1861,Bronco (c),5149,Valid,OC,53.0,Found,1980,33.275,-102.96,"(33.275, -102.96)",Chon
1865,Brownfield (c),5153,Valid,OC,1550.0,Found,1974,33.135,-102.27833,"(33.135, -102.27833)",Chon
2093,Claytonville (b),5376,Valid,OC,5136.0,Found,1978,34.34833,-101.65833,"(34.34833, -101.65833)",Chon
3372,Deakin 001,6625,Valid,Chondrite-ung,109.5,Found,1978,-30.88333,128.96667,"(-30.88333, 128.96667)",Chon
3391,Delphos (b),6646,Valid,OC,548.0,Found,1968,34.09,-103.61167,"(34.09, -103.61167)",Chon
4419,Dhofar 535,7296,Valid,Chondrite-ung,204.0,Found,2000,19.33333,54.795,"(19.33333, 54.795)",Chon
4730,Dhofar 860,7606,Valid,OC,394.0,Found,2003,19.3,54.66833,"(19.3, 54.66833)",Chon
4820,Dimmitt (b),7646,Valid,OC,2800.0,Found,1981,34.48333,-102.32833,"(34.48333, -102.32833)",Chon
4834,Dora (stone),7713,Valid,OC,1570.0,Found,1970,33.92333,-103.35,"(33.92333, -103.35)",Chon
5099,Elida (b),10015,Valid,OC,537.8,Found,1968,33.91667,-103.51833,"(33.91667, -103.51833)",Chon
5152,Ferintosh,10090,Valid,OC,2201.0,Found,1965,52.8,-112.98333,"(52.8, -112.98333)",Chon
5156,Finney (c),10105,Valid,OC,492.0,Found,1978,34.29833,-101.68333,"(34.29833, -101.68333)",Chon
5336,Grier (a),11202,Valid,OC,12.4,Found,1969,34.38167,-103.39167,"(34.38167, -103.39167)",Chon
5379,Hamilton (Texas),11484,Valid,OC,2700.0,Found,1965,31.59333,-98.25,"(31.59333, -98.25)",Chon
5557,Hammadah al Hamra 180,11663,Valid,Chondrite-ung,936.0,Found,1996,28.6035,13.30067,"(28.6035, 13.30067)",Chon
5725,Happy (b),11819,Valid,OC,2505.0,Found,1972,34.59333,-101.99333,"(34.59333, -101.99333)",Chon
5726,Happy (c),11820,Valid,OC,884.3,Found,1971,34.58333,-102.05,"(34.58333, -102.05)",Chon
5775,Hereford,11876,Valid,OC,2276.0,Found,1970,33.795,-102.24167,"(33.795, -102.24167)",Chon
6012,Jiddat al Harasis 089,12148,Valid,OC,170.69,Found,2002,19.93903,56.42808,"(19.93903, 56.42808)",Chon
6860,Leoville (b),12767,Valid,OC,2500.0,Found,1969,39.60833,-100.475,"(39.60833, -100.475)",Chon
