"","lat_gs","long_gs","ffscore","fallorfind"
"503",35,-82,0,"both"
"504",36,-82,1,"fall"
"505",37,-82,-1,"find"
"506",40,-82,0,"both"
"507",44,-82,-1,"find"
"508",26,-81,-1,"find"
"509",34,-81,1,"fall"
"510",35,-81,0,"both"
"511",36,-81,-1,"find"
"512",37,-81,-1,"find"
"513",40,-81,1,"fall"
"514",42,-81,-1,"find"
"515",43,-81,1,"fall"
"516",44,-81,1,"fall"
"517",47,-81,-1,"find"
"518",-2,-80,1,"fall"
"519",22,-80,-1,"find"
"520",35,-80,0,"both"
"521",36,-80,0,"both"
"522",37,-80,-1,"find"
"523",38,-80,-1,"find"
"524",39,-80,-1,"find"
"525",40,-80,0,"both"
"526",43,-80,0,"both"
"527",44,-80,-1,"find"
"528",45,-80,-1,"find"
"529",35,-79,1,"fall"
"530",36,-79,1,"fall"
"531",40,-79,0,"both"
"532",43,-79,-1,"find"
"533",17,-78,-1,"find"
"534",35,-78,0,"both"
"535",37,-78,1,"fall"
"536",38,-78,1,"fall"
"537",39,-78,-1,"find"
"538",41,-78,-1,"find"
"539",42,-78,-1,"find"
"540",44,-78,-1,"find"
"541",3,-77,1,"fall"
"542",36,-77,-1,"find"
"543",37,-77,1,"fall"
"544",38,-77,1,"fall"
"545",39,-77,-1,"find"
"546",42,-77,-1,"find"
"547",45,-77,-1,"find"
"548",-15,-76,-1,"find"
"549",42,-76,-1,"find"
"550",-15,-75,-1,"find"
"551",42,-75,-1,"find"
"552",40,-74,1,"fall"
"553",41,-74,1,"fall"
"554",42,-74,0,"both"
"555",45,-74,-1,"find"
"556",5,-73,-1,"find"
"557",41,-73,1,"fall"
"558",42,-73,-1,"find"
"559",45,-73,1,"fall"
"560",48,-73,-1,"find"
"561",-43,-72,-1,"find"
"562",-32,-72,1,"fall"
"563",-46,-71,-1,"find"
"564",-45,-71,-1,"find"
"565",-38,-71,-1,"find"
"566",-34,-71,-1,"find"
"567",-28,-71,-1,"find"
"568",-27,-71,-1,"find"
"569",-26,-71,-1,"find"
"570",-25,-71,-1,"find"
"571",-24,-71,-1,"find"
"572",-23,-71,-1,"find"
"573",9,-71,1,"fall"
"574",43,-71,-1,"find"
"575",44,-71,1,"fall"
"576",-40,-70,-1,"find"
"577",-39,-70,-1,"find"
"578",-29,-70,-1,"find"
"579",-28,-70,-1,"find"
"580",-27,-70,-1,"find"
"581",-26,-70,-1,"find"
"582",-25,-70,-1,"find"
"583",-24,-70,-1,"find"
"584",-23,-70,-1,"find"
"585",-22,-70,-1,"find"
"586",-21,-70,-1,"find"
"587",-20,-70,-1,"find"
"588",-17,-70,1,"fall"
"589",11,-70,1,"fall"
"590",44,-70,1,"fall"
"591",-43,-69,-1,"find"
"592",-32,-69,1,"fall"
"593",-26,-69,-1,"find"
"594",-25,-69,-1,"find"
"595",-24,-69,-1,"find"
"596",-23,-69,-1,"find"
"597",44,-69,1,"fall"
"598",-49,-68,-1,"find"
"599",-41,-68,-1,"find"
"600",-40,-68,-1,"find"
"601",-28,-68,0,"both"
"602",-24,-68,-1,"find"
"603",45,-68,1,"fall"
"604",-45,-67,1,"fall"
"605",-41,-67,-1,"find"
"606",-34,-67,-1,"find"
"607",-30,-67,-1,"find"
"608",-29,-67,-1,"find"
"609",-20,-67,-1,"find"
"610",-19,-67,-1,"find"
"611",-36,-66,-1,"find"
"612",-33,-66,1,"fall"
"613",-32,-66,1,"fall"
"614",-27,-66,1,"fall"
"615",-24,-66,1,"fall"
"616",-34,-65,1,"fall"
"617",-33,-65,0,"both"
"618",-31,-65,0,"both"
"619",48,-65,-1,"find"
"620",-29,-64,0,"both"
"621",-42,-63,-1,"find"
"622",-39,-63,-1,"find"
"623",-39,-62,-1,"find"
"624",-38,-62,0,"both"
"625",-34,-62,0,"both"
"626",-30,-62,-1,"find"
"627",-27,-62,-1,"find"
"628",4,-62,-1,"find"
"629",-39,-61,-1,"find"
"630",-38,-61,-1,"find"
"631",-37,-61,-1,"find"
"632",-34,-61,-1,"find"
"633",-33,-61,-1,"find"
"634",-32,-61,1,"fall"
"635",-30,-61,-1,"find"
"636",-29,-61,-1,"find"
"637",-28,-61,-1,"find"
"638",-37,-60,-1,"find"
"639",-35,-60,-1,"find"
"640",-33,-60,1,"fall"
"641",-36,-59,-1,"find"
"642",-35,-59,-1,"find"
"643",-33,-59,1,"fall"
"644",-32,-59,1,"fall"
"645",-31,-59,1,"fall"
"646",-32,-58,1,"fall"
"647",-28,-57,-1,"find"
"648",-26,-57,1,"fall"
"649",-33,-56,-1,"find"
"650",-26,-55,1,"fall"
"651",-34,-54,-1,"find"
"652",-31,-54,-1,"find"
"653",-30,-54,1,"fall"
"654",0,-54,-1,"find"
"655",-31,-52,-1,"find"
"656",-30,-52,0,"both"
"657",-24,-52,1,"fall"
"658",-20,-52,1,"fall"
"659",-30,-51,-1,"find"
"660",-27,-51,-1,"find"
"661",-17,-51,-1,"find"
"662",-16,-51,-1,"find"
"663",-27,-50,0,"both"
"664",-23,-50,1,"fall"
"665",-22,-50,1,"fall"
"666",-21,-50,1,"fall"
"667",-15,-50,-1,"find"
"668",-27,-49,-1,"find"
"669",-20,-49,0,"both"
"670",-15,-49,-1,"find"
"671",-20,-48,0,"both"
"672",-17,-48,-1,"find"
"673",-19,-47,-1,"find"
"674",-8,-47,-1,"find"
"675",-23,-46,-1,"find"
"676",-23,-45,1,"fall"
"677",-22,-45,-1,"find"
"678",-20,-45,0,"both"
"679",-19,-45,-1,"find"
"680",-18,-45,-1,"find"
"681",-4,-45,1,"fall"
"682",-22,-44,-1,"find"
"683",-19,-44,-1,"find"
"684",-18,-44,-1,"find"
"685",-15,-44,-1,"find"
"686",-23,-43,-1,"find"
"687",-14,-43,-1,"find"
"688",-21,-42,1,"fall"
"689",-19,-42,-1,"find"
"690",-15,-41,-1,"find"
"691",-8,-41,1,"fall"
"692",-7,-41,1,"fall"
"693",-6,-41,-1,"find"
"694",-11,-40,-1,"find"
"695",-9,-37,1,"fall"
"696",-6,-37,1,"fall"
"697",21,-17,-1,"find"
"698",24,-15,-1,"find"
"699",22,-14,-1,"find"
"700",24,-14,0,"both"
"701",20,-13,-1,"find"
"702",21,-13,-1,"find"
"703",26,-13,0,"both"
"704",27,-13,-1,"find"
"705",16,-12,1,"fall"
"706",17,-12,1,"fall"
"707",20,-12,-1,"find"
"708",26,-12,-1,"find"
"709",28,-12,-1,"find"
"710",14,-11,-1,"find"
"711",22,-11,-1,"find"
"712",23,-11,-1,"find"
"713",25,-11,-1,"find"
"714",26,-11,-1,"find"
"715",27,-11,-1,"find"
"716",16,-10,1,"fall"
"717",23,-10,-1,"find"
"718",27,-10,0,"both"
"719",28,-10,-1,"find"
"720",30,-10,-1,"find"
"721",27,-9,-1,"find"
"722",29,-9,-1,"find"
"723",32,-9,1,"fall"
"724",37,-9,1,"fall"
"725",38,-9,1,"fall"
"726",41,-9,-1,"find"
"727",52,-9,1,"fall"
"728",27,-8,-1,"find"
"729",28,-8,-1,"find"
"730",29,-8,0,"both"
"731",31,-8,1,"fall"
"732",38,-8,1,"fall"
"733",41,-8,0,"both"
"734",53,-8,1,"fall"
"735",54,-8,1,"fall"
"736",22,-7,-1,"find"
"737",30,-7,0,"both"
"738",32,-7,0,"both"
"739",38,-7,1,"fall"
"740",41,-7,1,"fall"
"741",52,-7,1,"fall"
"742",54,-7,1,"fall"
"743",15,-6,1,"fall"
"744",23,-6,1,"fall"
"745",29,-6,-1,"find"
"746",30,-6,-1,"find"
"747",31,-6,-1,"find"
"748",33,-6,-1,"find"
"749",37,-6,1,"fall"
"750",38,-6,1,"fall"
"751",42,-6,1,"fall"
"752",43,-6,1,"fall"
"753",13,-5,1,"fall"
"754",23,-5,-1,"find"
"755",29,-5,-1,"find"
"756",30,-5,-1,"find"
"757",31,-5,-1,"find"
"758",32,-5,-1,"find"
"759",39,-5,-1,"find"
"760",42,-5,1,"fall"
"761",48,-5,-1,"find"
"762",53,-5,1,"fall"
"763",55,-5,1,"fall"
"764",11,-4,1,"fall"
"765",22,-4,-1,"find"
"766",29,-4,-1,"find"
"767",30,-4,-1,"find"
"768",31,-4,-1,"find"
"769",32,-4,-1,"find"
"770",37,-4,-1,"find"
"771",39,-4,1,"fall"
"772",40,-4,1,"fall"
"773",41,-4,1,"fall"
"774",48,-4,0,"both"
"775",50,-4,1,"fall"
"776",56,-4,0,"both"
"777",11,-3,0,"both"
"778",14,-3,1,"fall"
"779",29,-3,-1,"find"
"780",31,-3,-1,"find"
"781",32,-3,-1,"find"
"782",39,-3,1,"fall"
"783",42,-3,1,"fall"
"784",47,-3,-1,"find"
"785",52,-3,1,"fall"
"786",53,-3,1,"fall"
"787",20,-2,-1,"find"
"788",23,-2,-1,"find"
"789",24,-2,-1,"find"
"790",37,-2,1,"fall"
"791",38,-2,1,"fall"
"792",44,-2,-1,"find"
"793",46,-2,1,"fall"
"794",48,-2,1,"fall"
"795",49,-2,1,"fall"
