"","id","recclass","mass","fall_or_found","year","latitude","longitude","group","chondrite","type","lvl3","lvl4","lc_sample","over_under","coords.x1","coords.x2","optional"
"6114",23392,"H4",2934,"Found",2002,20.48407,56.9429,"H","Chondrite","Stony","Ordinary","H","11",0.00485781484723708,56.9429,20.48407,TRUE
"4965",16861,"L6",26.6,"Found",1982,-30.01667,127.7,"L","Chondrite","Stony","Ordinary","L","14",0.498018659921233,127.7,-30.01667,TRUE
"8971",54451,"H5",11,"Found",2010,-24.85,-70.53333,"H","Chondrite","Stony","Ordinary","H","11",0.00485781484723708,-70.53333,-24.85,TRUE
"4486",12389,"L6",7780,"Found",1965,29.975,-97.86667,"L","Chondrite","Stony","Ordinary","L","1",0.297273742080897,-97.86667,29.975,TRUE
"8345",51403,"L6",36.9,"Found",2007,19.79147,56.41468,"L","Chondrite","Stony","Ordinary","L","11",0.00485781484723708,56.41468,19.79147,TRUE
"3248",7771,"Iron, IAB-sLM",10200,"Found",1942,37.03333,-85.63333,"Iron IAB","Achondrite","Iron","Non-magmatic","Primative","11",0.00485781484723708,-85.63333,37.03333,TRUE
"4688",14748,"L6",2.71,"Found",2003,34.49553,-116.9471,"L","Chondrite","Stony","Ordinary","L","11",0.00485781484723708,-116.9471,34.49553,TRUE
"5513",18879,"LL",665,"Fell",1933,31.41667,118.5,"LL","Chondrite","Stony","Ordinary","LL","1",0.297273742080897,118.5,31.41667,TRUE
"6314",23598,"L4",218.8,"Found",2000,35.37333,-116.125,"L","Chondrite","Stony","Ordinary","L","11",0.00485781484723708,-116.125,35.37333,TRUE
"62",64,"H5",2051,"Found",1989,27.7,3.93333,"H","Chondrite","Stony","Ordinary","H","14",0.498018659921233,3.93333,27.7,TRUE
"1567",5973,"H4",115,"Found",1998,27.45467,16.08733,"H","Chondrite","Stony","Ordinary","H","11",0.00485781484723708,16.08733,27.45467,TRUE
"9257",55500,"L6",0.26,"Found",2010,20.22002,56.02035,"L","Chondrite","Stony","Ordinary","L","11",0.00485781484723708,56.02035,20.22002,TRUE
"8706",52052,"L4",62.8,"Found",2009,19.98133,56.46136,"L","Chondrite","Stony","Ordinary","L","11",0.00485781484723708,56.46136,19.98133,TRUE
"1773",6181,"L6",160,"Found",1998,27.37083,15.99133,"L","Chondrite","Stony","Ordinary","L","11",0.00485781484723708,15.99133,27.37083,TRUE
