,name,id,nametype,recclass,mass_in_grams,fell_or_found,year,latitude,longitude,GeoLocation,group_name,Chondrite/Achondrite,type,L3,L4
6041,Acfer 110,119,Valid,L6,107.0,Found,1990,27.48333,3.8,"(27.48333, 3.8)",L,Chondrite,Stony,Ordinary,L
977,Acfer 111,120,Valid,H3-6,987.0,Found,1990,27.48333,3.8,"(27.48333, 3.8)",H,Chondrite,Stony,Ordinary,H
8931,Acfer 112,121,Valid,LL4/5,216.0,Found,1990,27.65,4.03333,"(27.65, 4.03333)",LL,Chondrite,Stony,Ordinary,LL
8932,Acfer 113,122,Valid,LL6,2906.0,Found,1990,27.56667,4.03333,"(27.56667, 4.03333)",LL,Chondrite,Stony,Ordinary,LL
303,Acfer 114,123,Valid,CR2,43.0,Found,1990,27.6,3.96667,"(27.6, 3.96667)",CR,Chondrite,Stony,Carbonaceous,CR
978,Acfer 115,124,Valid,H6,287.0,Found,1990,27.73333,4.16667,"(27.73333, 4.16667)",H,Chondrite,Stony,Ordinary,H
6042,Acfer 116,125,Valid,L6,345.0,Found,1990,27.73333,4.16667,"(27.73333, 4.16667)",L,Chondrite,Stony,Ordinary,L
979,Acfer 117,126,Valid,H4,178.0,Found,1990,27.73333,4.2,"(27.73333, 4.2)",H,Chondrite,Stony,Ordinary,H
6043,Acfer 118,127,Valid,L6,752.0,Found,1990,27.66667,4.2,"(27.66667, 4.2)",L,Chondrite,Stony,Ordinary,L
980,Acfer 119,128,Valid,H3.8,121.0,Found,1990,27.65,4.23333,"(27.65, 4.23333)",H,Chondrite,Stony,Ordinary,H
8933,Acfer 120,129,Valid,LL6,861.0,Found,1990,27.65,4.3,"(27.65, 4.3)",LL,Chondrite,Stony,Ordinary,LL
6044,Acfer 121,130,Valid,L5-6,427.0,Found,1990,27.68333,4.33333,"(27.68333, 4.33333)",L,Chondrite,Stony,Ordinary,L
6045,Acfer 122,131,Valid,L4/5,235.0,Found,1990,27.5,3.66667,"(27.5, 3.66667)",L,Chondrite,Stony,Ordinary,L
981,Acfer 123,132,Valid,H3.9,452.0,Found,1990,27.46667,3.76667,"(27.46667, 3.76667)",H,Chondrite,Stony,Ordinary,H
8934,Acfer 124,133,Valid,LL5-6,542.0,Found,1990,27.6,4.05,"(27.6, 4.05)",LL,Chondrite,Stony,Ordinary,LL
6046,Acfer 125,134,Valid,L6,3380.0,Found,1990,27.68333,4.35,"(27.68333, 4.35)",L,Chondrite,Stony,Ordinary,L
8935,Acfer 126,135,Valid,LL5-6,280.0,Found,1990,27.51667,3.8,"(27.51667, 3.8)",LL,Chondrite,Stony,Ordinary,LL
6047,Acfer 127,136,Valid,L6,699.0,Found,1990,27.7,4.3,"(27.7, 4.3)",L,Chondrite,Stony,Ordinary,L
6048,Acfer 128,137,Valid,L6,163.0,Found,1990,27.5,4.3,"(27.5, 4.3)",L,Chondrite,Stony,Ordinary,L
982,Acfer 129,138,Valid,H3.7,162.0,Found,1990,27.6,4.2,"(27.6, 4.2)",H,Chondrite,Stony,Ordinary,H
983,Acfer 130,139,Valid,H5,400.0,Found,1990,27.58333,4.0,"(27.58333, 4.0)",H,Chondrite,Stony,Ordinary,H
8936,Acfer 131,140,Valid,LL6,171.0,Found,1990,27.58333,3.96667,"(27.58333, 3.96667)",LL,Chondrite,Stony,Ordinary,LL
984,Acfer 132,141,Valid,H6,1621.0,Found,1990,27.5,3.76667,"(27.5, 3.76667)",H,Chondrite,Stony,Ordinary,H
6049,Acfer 133,142,Valid,L3-5,362.0,Found,1990,27.5,3.83333,"(27.5, 3.83333)",L,Chondrite,Stony,Ordinary,L
6050,Acfer 134,143,Valid,L5,1161.0,Found,1990,27.76667,4.53333,"(27.76667, 4.53333)",L,Chondrite,Stony,Ordinary,L
985,Acfer 135,144,Valid,H5,124.0,Found,1990,27.55,4.03333,"(27.55, 4.03333)",H,Chondrite,Stony,Ordinary,H
986,Acfer 136,145,Valid,H5,324.0,Found,1990,27.46667,4.05,"(27.46667, 4.05)",H,Chondrite,Stony,Ordinary,H
987,Acfer 137,146,Valid,H4/5,106.0,Found,1990,27.58333,4.08333,"(27.58333, 4.08333)",H,Chondrite,Stony,Ordinary,H
6051,Acfer 138,147,Valid,L5,941.0,Found,1990,27.66667,4.08333,"(27.66667, 4.08333)",L,Chondrite,Stony,Ordinary,L
304,Acfer 139,148,Valid,CR2,143.0,Found,1990,27.56667,4.08333,"(27.56667, 4.08333)",CR,Chondrite,Stony,Carbonaceous,CR
6052,Acfer 140,149,Valid,L5,171.0,Found,1990,27.56667,4.08333,"(27.56667, 4.08333)",L,Chondrite,Stony,Ordinary,L
988,Acfer 141,150,Valid,H5,58.0,Found,1990,27.58333,3.85,"(27.58333, 3.85)",H,Chondrite,Stony,Ordinary,H
6053,Acfer 142,151,Valid,L5,91.0,Found,1990,27.56667,4.35,"(27.56667, 4.35)",L,Chondrite,Stony,Ordinary,L
6054,Acfer 143,152,Valid,L6,417.0,Found,1990,27.66667,4.45,"(27.66667, 4.45)",L,Chondrite,Stony,Ordinary,L
6055,Acfer 144,153,Valid,L6,186.0,Found,1990,27.66667,4.28333,"(27.66667, 4.28333)",L,Chondrite,Stony,Ordinary,L
6056,Acfer 145,154,Valid,L6,869.0,Found,1990,27.66667,4.28333,"(27.66667, 4.28333)",L,Chondrite,Stony,Ordinary,L
989,Acfer 146,155,Valid,H5,200.0,Found,1990,27.63333,4.08333,"(27.63333, 4.08333)",H,Chondrite,Stony,Ordinary,H
6057,Acfer 147,156,Valid,L6,140.0,Found,1990,27.6,4.11667,"(27.6, 4.11667)",L,Chondrite,Stony,Ordinary,L
990,Acfer 148,157,Valid,H5,157.0,Found,1990,27.58333,4.06667,"(27.58333, 4.06667)",H,Chondrite,Stony,Ordinary,H
8937,Acfer 149,158,Valid,L/LL6,394.0,Found,1990,27.58333,4.05,"(27.58333, 4.05)",LL,Chondrite,Stony,Ordinary,LL
991,Acfer 150,159,Valid,H5,251.0,Found,1990,27.56667,3.81667,"(27.56667, 3.81667)",H,Chondrite,Stony,Ordinary,H
992,Acfer 151,160,Valid,H5,218.0,Found,1990,27.46667,3.71667,"(27.46667, 3.71667)",H,Chondrite,Stony,Ordinary,H
993,Acfer 152,161,Valid,H5,157.0,Found,1990,27.43333,3.75,"(27.43333, 3.75)",H,Chondrite,Stony,Ordinary,H
994,Acfer 153,162,Valid,H3.6-6,211.0,Found,1990,27.53333,3.95,"(27.53333, 3.95)",H,Chondrite,Stony,Ordinary,H
995,Acfer 154,163,Valid,H5,95.0,Found,1990,27.55,4.01667,"(27.55, 4.01667)",H,Chondrite,Stony,Ordinary,H
6058,Acfer 155,164,Valid,L6,206.0,Found,1990,27.66667,4.25,"(27.66667, 4.25)",L,Chondrite,Stony,Ordinary,L
6059,Acfer 156,165,Valid,L6,240.0,Found,1990,27.66667,4.23333,"(27.66667, 4.23333)",L,Chondrite,Stony,Ordinary,L
6060,Acfer 157,166,Valid,L6,1072.0,Found,1990,27.66667,4.23333,"(27.66667, 4.23333)",L,Chondrite,Stony,Ordinary,L
996,Acfer 158,167,Valid,H4/5,422.0,Found,1990,27.66667,4.21667,"(27.66667, 4.21667)",H,Chondrite,Stony,Ordinary,H
997,Acfer 159,168,Valid,H3.8,123.0,Found,1990,27.5,3.93333,"(27.5, 3.93333)",H,Chondrite,Stony,Ordinary,H
8938,Acfer 160,169,Valid,LL3.8-6,433.0,Found,1990,27.46667,3.71667,"(27.46667, 3.71667)",LL,Chondrite,Stony,Ordinary,LL
998,Acfer 161,170,Valid,H5,604.0,Found,1990,27.75,4.43333,"(27.75, 4.43333)",H,Chondrite,Stony,Ordinary,H
999,Acfer 162,171,Valid,H3-6,1281.0,Found,1990,27.66667,4.01667,"(27.66667, 4.01667)",H,Chondrite,Stony,Ordinary,H
1000,Acfer 163,172,Valid,H3.8-5,125.0,Found,1990,27.7,4.35,"(27.7, 4.35)",H,Chondrite,Stony,Ordinary,H
1001,Acfer 164,173,Valid,H5,43.0,Found,1990,27.53333,4.18333,"(27.53333, 4.18333)",H,Chondrite,Stony,Ordinary,H
1002,Acfer 165,174,Valid,H5-6,84.0,Found,1990,27.56667,4.33333,"(27.56667, 4.33333)",H,Chondrite,Stony,Ordinary,H
1003,Acfer 166,175,Valid,H3-5,2476.0,Found,1990,27.51667,4.23333,"(27.51667, 4.23333)",H,Chondrite,Stony,Ordinary,H
6061,Acfer 167,176,Valid,L5,157.0,Found,1990,27.51667,4.0,"(27.51667, 4.0)",L,Chondrite,Stony,Ordinary,L
6062,Acfer 168,177,Valid,L6,211.0,Found,1990,27.6,3.98333,"(27.6, 3.98333)",L,Chondrite,Stony,Ordinary,L
1004,Acfer 169,178,Valid,H3.8/4,559.0,Found,1990,27.73333,4.11667,"(27.73333, 4.11667)",H,Chondrite,Stony,Ordinary,H
1005,Acfer 171,179,Valid,H3.7,313.0,Found,1990,27.65,4.25,"(27.65, 4.25)",H,Chondrite,Stony,Ordinary,H
6063,Acfer 172,180,Valid,L6,766.0,Found,1990,27.66667,4.16667,"(27.66667, 4.16667)",L,Chondrite,Stony,Ordinary,L
1006,Acfer 173,181,Valid,H6,262.0,Found,1990,27.65,4.03333,"(27.65, 4.03333)",H,Chondrite,Stony,Ordinary,H
8939,Acfer 174,182,Valid,LL6,127.0,Found,1990,27.48333,3.86667,"(27.48333, 3.86667)",LL,Chondrite,Stony,Ordinary,LL
8940,Acfer 175,183,Valid,LL5-6,153.0,Found,1990,27.48333,3.85,"(27.48333, 3.85)",LL,Chondrite,Stony,Ordinary,LL
8941,Acfer 176,184,Valid,LL5-6,320.0,Found,1990,27.48333,3.85,"(27.48333, 3.85)",LL,Chondrite,Stony,Ordinary,LL
8942,Acfer 177,185,Valid,LL5-6,721.0,Found,1990,27.48333,3.85,"(27.48333, 3.85)",LL,Chondrite,Stony,Ordinary,LL
1007,Acfer 178,186,Valid,H3.7,488.0,Found,1990,27.48333,3.75,"(27.48333, 3.75)",H,Chondrite,Stony,Ordinary,H
6064,Acfer 179,187,Valid,L6,163.0,Found,1990,27.46667,3.75,"(27.46667, 3.75)",L,Chondrite,Stony,Ordinary,L
1008,Acfer 180,188,Valid,H3.9-5,103.0,Found,1990,27.6,4.16667,"(27.6, 4.16667)",H,Chondrite,Stony,Ordinary,H
6065,Acfer 181,189,Valid,L6,245.0,Found,1990,27.66667,4.2,"(27.66667, 4.2)",L,Chondrite,Stony,Ordinary,L
63,Acfer 182,190,Valid,CH3,166.0,Found,1990,27.7,4.35,"(27.7, 4.35)",CH,Chondrite,Stony,Carbonaceous,CR
1009,Acfer 183,191,Valid,H5,114.0,Found,1990,27.58333,4.16667,"(27.58333, 4.16667)",H,Chondrite,Stony,Ordinary,H
