"","X","id","recclass","mass","fell_or_found","year","latitude","longitude","group","chondrite","type","lvl3","lvl4","lc_sample","weights"
"599",4848,16697,"LL6",5500,"Fell",1952,32.33333,120.66667,"LL","Chondrite","Stony","Ordinary","LL",1,0.297273742080897
"308",3487,10860,"Iron, IIE",380,"Fell",1917,27.88333,68.53333,"Iron IIE","Achondrite","Iron","Magmatic","Siderite",2,0.463225690897741
"640",5001,16899,"L6",23200,"Fell",1923,13.73333,100.08333,"L","Chondrite","Stony","Ordinary","L",16,1.82339952891488
"935",6596,23908,"H6",342,"Fell",1950,33.4,70.6,"H","Chondrite","Stony","Ordinary","H",15,0.406210536590808
"927",6480,23801,"L5",905,"Fell",1918,35.43333,136.23333,"L","Chondrite","Stony","Ordinary","L",1,0.297273742080897
"1047",6989,30404,"L4",42000,"Fell",1984,45.81667,125.91667,"L","Chondrite","Stony","Ordinary","L",2,0.463225690897741
"229",3187,7656,"H",3950,"Fell",1961,12.73333,15.05,"H","Chondrite","Stony","Ordinary","H",2,0.463225690897741
"814",5672,22640,"Stone-uncl",1641,"Fell",1895,-23.38333,150.51667,"Stony",NA,"Stony",NA,NA,1,0.297273742080897
"966",6703,24094,"H4",19860,"Fell",1884,60,5.61667,"H","Chondrite","Stony","Ordinary","H",10,0.461815233876118
"1042",6977,30391,"H5",14250,"Fell",1984,32.3,112.75,"H","Chondrite","Stony","Ordinary","H",2,0.463225690897741
"492",4492,12395,"H5",2000,"Fell",1924,-37.33333,-61.53333,"H","Chondrite","Stony","Ordinary","H",1,0.297273742080897
"507",4572,12748,"H5",3000,"Fell",1845,47.16667,0.43333,"H","Chondrite","Stony","Ordinary","H",1,0.297273742080897
"659",5066,16966,"LL3.6",1393,"Fell",1883,-7.45,111.41667,"LL","Chondrite","Stony","Ordinary","LL",1,0.297273742080897
"1009",6864,24244,"H5",3750,"Fell",1831,48.95,17.38333,"H","Chondrite","Stony","Ordinary","H",1,0.297273742080897
"1086",7972,47357,"L5/6",1600,"Fell",2004,20.33916,73.22329,"L","Chondrite","Stony","Ordinary","L",11,0.00485781484723708
"842",5859,23114,"LL5",43,"Fell",1985,52.75,11.05,"LL","Chondrite","Stony","Ordinary","LL",11,0.00485781484723708
"302",3478,10854,"H5",367,"Fell",1960,11.65,-2.18333,"H","Chondrite","Stony","Ordinary","H",16,1.82339952891488
"338",3598,11443,"LL5",968,"Fell",1949,9.91667,13.98333,"LL","Chondrite","Stony","Ordinary","LL",2,0.463225690897741
"668",5079,16984,"Eucrite-pmict",2300,"Fell",1823,44.08333,-69.48333,"Eucrite","Achondrite","Stony","Asteroidal","H-E-D Vesta",10,0.461815233876118
"528",4659,14716,"L6",1300,"Fell",1977,38.25,-85.75,"L","Chondrite","Stony","Ordinary","L",1,0.297273742080897
"325",3569,11196,"L5",45.5,"Fell",1976,60.66667,11,"L","Chondrite","Stony","Ordinary","L",9,2.84735119047619
"135",755,5128,"L",762,"Fell",1886,40.5,-80.08333,"L","Chondrite","Stony","Ordinary","L",1,0.297273742080897
"696",5321,18012,"Stone-uncl",367,"Fell",1519,39,-0.03333,"Stony",NA,"Stony",NA,NA,1,0.297273742080897
"165",915,5306,"L3.7",1025,"Fell",1988,26.46667,-105.23333,"L","Chondrite","Stony","Ordinary","L",2,0.463225690897741
"372",4059,11913,"L6",180,"Fell",1956,35.66667,115.5,"L","Chondrite","Stony","Ordinary","L",1,0.297273742080897
"247",3232,7750,"L6",13200,"Fell",1815,30.3,76.63333,"L","Chondrite","Stony","Ordinary","L",1,0.297273742080897
"840",5853,23107,"L6",61.4,"Fell",1981,44.97917,-122.96944,"L","Chondrite","Stony","Ordinary","L",1,0.297273742080897
"261",3298,7823,"Iron, IID",107000,"Fell",1399,50.18333,12.73333,"Iron IID","Achondrite","Iron","Magmatic","Siderite",10,0.461815233876118
"976",6720,24112,"LL5",100,"Fell",1822,30.33333,76.33333,"LL","Chondrite","Stony","Ordinary","LL",1,0.297273742080897
"876",6246,23529,"L5",18600,"Fell",1904,44.05,-80.16667,"L","Chondrite","Stony","Ordinary","L",1,0.297273742080897
"467",4428,12332,"H6",3250,"Fell",1843,51.6,10.8,"H","Chondrite","Stony","Ordinary","H",11,0.00485781484723708
"46",506,2325,"H5",810,"Fell",1954,-33,-66,"H","Chondrite","Stony","Ordinary","H",15,0.406210536590808
"116",690,5060,"LL3.15",1039,"Fell",1895,25.38333,82.6,"LL","Chondrite","Stony","Ordinary","LL",1,0.297273742080897
"532",4693,14753,"L6",340,"Fell",1869,32.03333,-84.76667,"L","Chondrite","Stony","Ordinary","L",1,0.297273742080897
"722",5396,18101,"LL5",408000,"Fell",1930,36.06667,-90.5,"LL","Chondrite","Stony","Ordinary","LL",1,0.297273742080897
"824",5822,22793,"LL6",478,"Fell",1999,23.08333,91.66667,"LL","Chondrite","Stony","Ordinary","LL",11,0.00485781484723708
"1089",8103,48653,"Eucrite",324,"Fell",2007,-31.35,129.19,"Eucrite","Achondrite","Stony","Asteroidal","H-E-D Vesta",11,0.00485781484723708
"804",5637,22590,"Iron, IIF",7000,"Fell",1933,48.6,45.66667,"Iron IIF","Achondrite","Iron","Magmatic","Siderite",13,0.428663281861922
"506",4569,12743,"L6",800,"Fell",1938,52.45,51.56667,"L","Chondrite","Stony","Ordinary","L",2,0.463225690897741
"806",5640,22593,"L6",3332,"Fell",1929,28.2,76.66667,"L","Chondrite","Stony","Ordinary","L",1,0.297273742080897
"184",944,5340,"LL6",8400,"Fell",1933,35.03333,-81.88333,"LL","Chondrite","Stony","Ordinary","LL",12,0.49799067553469
"555",4730,15403,"Diogenite",50,"Fell",1843,20.96667,76.1,"Diogenite","Achondrite","Stony","Asteroidal","H-E-D Vesta",1,0.297273742080897
"997",6787,24174,"CV3",15000,"Fell",1910,44.85,11.4,"CV","Chondrite","Stony","Carbonaceous","CV-CK",1,0.297273742080897
"573",4774,15454,"L6",4975,"Fell",1942,-1.21667,30,"L","Chondrite","Stony","Ordinary","L",2,0.463225690897741
