"","X","id","recclass","mass","fell_or_found","year","latitude","longitude","group","chondrite","type","lvl3","lvl4","lc_sample","weights"
"7623",7623,35634,"L4",69.7,"Found",2002,33.68085,-114.1958,"L","Chondrite","Stony","Ordinary","L",11,0.00485781484723708
"7878",7878,45910,"H4/5",23.8,"Found",2006,21.37162,58.4124,"H","Chondrite","Stony","Ordinary","H",11,0.00485781484723708
"2369",2369,6838,"H(L)3",420.1,"Found",2003,18.69942,54.2651,"H","Chondrite","Stony","Ordinary","H",11,0.00485781484723708
"1027",1027,5425,"L/LL3",97,"Found",1990,-30.24833,130.54083,"LL","Chondrite","Stony","Ordinary","LL",11,0.00485781484723708
"5819",5819,22789,"H5",8.9,"Found",1982,32.13333,-111.13333,"H","Chondrite","Stony","Ordinary","H",13,0.428663281861922
"7700",7700,35711,"H5",506.3,"Found",2005,20.84918,56.94902,"H","Chondrite","Stony","Ordinary","H",11,0.00485781484723708
"8322",8322,51039,"L6",19,"Found",2009,22.86878,55.15008,"L","Chondrite","Stony","Ordinary","L",11,0.00485781484723708
"9644",9644,56480,"H5",4.4,"Found",1979,19.10889,54.82722,"H","Chondrite","Stony","Ordinary","H",14,0.498018659921233
"1341",1341,5747,"H6",1699,"Found",1996,27.058,16.40217,"H","Chondrite","Stony","Ordinary","H",11,0.00485781484723708
"2928",2928,7397,"H5/6",64,"Found",2001,19.13788,54.66702,"H","Chondrite","Stony","Ordinary","H",11,0.00485781484723708
"7988",7988,48537,"L6",2084.16,"Found",2007,19.32092,57.22977,"L","Chondrite","Stony","Ordinary","L",11,0.00485781484723708
"2375",2375,6844,"H5",361,"Found",2000,18.7864,54.62955,"H","Chondrite","Stony","Ordinary","H",11,0.00485781484723708
"1668",1668,6075,"L6",63,"Found",1997,27.01817,16.0885,"L","Chondrite","Stony","Ordinary","L",11,0.00485781484723708
"5862",5862,23117,"Iron, IIIAB",88000,"Found",1897,31.41667,-100.35,"Iron IIIAB","Achondrite","Iron","Magmatic","Siderite",2,0.463225690897741
"8328",8328,51045,"L6",87,"Found",2009,22.89528,55.17033,"L","Chondrite","Stony","Ordinary","L",11,0.00485781484723708
"416",416,426,"L6",779,"Fell",1949,29.51667,35.05,"L","Chondrite","Stony","Ordinary","L",14,0.498018659921233
"7063",7063,30482,"H4",17.02,"Found",2001,35.06847,-116.76905,"H","Chondrite","Stony","Ordinary","H",11,0.00485781484723708
"3943",3943,11789,"H4/5",378,"Found",2000,28.6985,13.04117,"H","Chondrite","Stony","Ordinary","H",11,0.00485781484723708
"1600",1600,6007,"L6",1082,"Found",1998,27.81433,15.9145,"L","Chondrite","Stony","Ordinary","L",11,0.00485781484723708
