,x_axis,water_pdf,cultivated_pdf,pasture_pdf,tundra_pdf,wooded_tundra_pdf,boreal_forest_pdf,conifer_forest_pdf,temperate_mixed_forest_pdf,temperate_decidous_forest_pdf,grasssland_pdf,desert_pdf,savanna_pdf,tropical_wooded_pdf,tropical_forest_pdf
17,17000.0,8.8552086656779e-06,6.132503440802068e-07,1.9527762144455594e-07,5.602603882299579e-06,4.4296507259062355e-05,3.1766625849830747e-06,7.766460144232907e-08,3.157277620867256e-06,5.827937913626018e-06,1.7516913347987067e-07,2.349228250678813e-07,5.583601187595604e-07,3.184052961679304e-05,2.1111447844569214e-05
18,18000.0,8.847366328691563e-06,6.133089412206568e-07,1.952840427580496e-07,5.633630422508212e-06,4.297536644913934e-05,3.182599532140178e-06,7.766804893500595e-08,3.161966484089377e-06,5.812393901806274e-06,1.7517688070495007e-07,2.3493298880545966e-07,5.584611274315242e-07,2.7892637199672953e-05,1.846561712309413e-05
19,19000.0,8.835173212657502e-06,6.133660888737433e-07,1.9529041727909352e-07,5.663543776607568e-06,4.1159869888577664e-05,3.1883341998971105e-06,7.767149348760885e-08,3.16645682430631e-06,5.795616935739088e-06,1.7518459415557396e-07,2.3494307107154745e-07,5.585610418938172e-07,2.4037824623330066e-05,1.5965580383691363e-05
20,20000.0,8.81864732733475e-06,6.134217866332501e-07,1.9529674500309168e-07,5.69232442672672e-06,3.891640350934697e-05,3.193865455559861e-06,7.767493509973302e-08,3.170747776418571e-06,5.777617940227927e-06,1.751922738272507e-07,2.3495307185561802e-07,5.58659861552641e-07,2.037966476766733e-05,1.3645224068532472e-05
21,21000.0,8.797813055687798e-06,6.134760341032422e-07,1.9530302592548185e-07,5.719953526402752e-06,3.632417022372793e-05,3.199192205303841e-06,7.767837377097405e-08,3.174838512968186e-06,5.758408612092459e-06,1.751999197155082e-07,2.3496299114722923e-07,5.587575858206339e-07,1.699789721191588e-05,1.1527940045408098e-05
22,22000.0,8.77270109393719e-06,6.135288308980719e-07,1.9530926004173523e-07,5.746412921135358e-06,3.3470562150073497e-05,3.2043133945343597e-06,7.768180950092786e-08,3.1787282444046184e-06,5.738001407501767e-06,1.7520753181589393e-07,2.3497282893602404e-07,5.588542141168767e-07,1.3947284208706047e-05,9.627151876481475e-06
23,23000.0,8.743348376195065e-06,6.135801766423817e-07,1.953154473473569e-07,5.771685168256832e-06,3.0446306199516117e-05,3.209228008234569e-06,7.768524228919072e-08,3.182416219338739e-06,5.716409528515022e-06,1.75215110123975e-07,2.3498258521172995e-07,5.589497458668976e-07,1.1258496369097607e-05,7.947289140582566e-06
24,24000.0,8.70979798394462e-06,6.136300709711102e-07,1.9532158783788535e-07,5.795753556087051e-06,2.7340755736639337e-05,3.213935071300729e-06,7.76886721353592e-08,3.1859017247847267e-06,5.6936469088499555e-06,1.7522265463533786e-07,2.3499225996415948e-07,5.590441805026793e-07,8.940615595986137e-06,6.485079153557767e-06
25,25000.0,8.672099040674046e-06,6.136785135294955e-07,1.9532768150889297e-07,5.818602122343984e-06,2.4237661669760417e-05,3.218433648864629e-06,7.769209903903027e-08,3.189184086389796e-06,5.669728198900617e-06,1.752301653455887e-07,2.3500185318320992e-07,5.591375174626633e-07,6.984748008530128e-06,5.23102294657329e-06
26,26000.0,8.630306592025661e-06,6.1372550397308e-07,1.953337283559857e-07,5.840215671781368e-06,2.1211687625129675e-05,3.2227228466030254e-06,7.769552299980115e-08,3.192262668651633e-06,5.644668750026945e-06,1.7523764225035316e-07,2.3501136485886344e-07,5.592297561917562e-07,5.368220566949248e-06,4.170931386749646e-06
27,27000.0,8.58448147186951e-06,6.137710419677143e-07,1.9533972837480313e-07,5.860579793026267e-06,1.8325845745362156e-05,3.2268018110339445e-06,7.769894401726945e-08,3.1951368751234594e-06,5.618484598139756e-06,1.752450853452765e-07,2.3502079498118715e-07,5.593208961413349e-07,4.058880357874415e-06,3.2874150776050573e-06
28,28000.0,8.534690154757525e-06,6.138151271895609e-07,1.9534568156101855e-07,5.879680874590401e-06,1.5629933503626855e-05,3.2306697297997126e-06,7.770236209103306e-08,3.197806148606617e-06,5.591192446605695e-06,1.7525249462602355e-07,2.350301435403329e-07,5.594109367692527e-07,3.0191065305451125e-06,2.561244957482158e-06
29,29000.0,8.481004595259093e-06,6.138577593250979e-07,1.9535158791033902e-07,5.897506120030349e-06,1.3159958930872529e-05,3.2343258319365926e-06,7.770577722069031e-08,3.200269971330599e-06,5.562809648497653e-06,1.752598700882787e-07,2.3503941052653765e-07,5.594998775398434e-07,2.209260432238248e-06,1.9725261375161654e-06
30,30000.0,8.423502054721522e-06,6.138989380711238e-07,1.953574474185052e-07,5.9140435622329865e-06,1.0938461371146445e-05,3.237769388130891e-06,7.770918940583974e-08,3.202527865120432e-06,5.533354188217054e-06,1.7526721172774583e-07,2.3504859593012314e-07,5.595877179239276e-07,1.5904194582900058e-06,1.5016526731611795e-06
31,31000.0,8.362264916039096e-06,6.139386631347601e-07,1.953632600812914e-07,5.929282076803848e-06,8.975574185594497e-06,3.240999710961414e-06,7.771259864608031e-08,3.2045793915513457e-06,5.502844662515228e-06,1.752745195401486e-07,2.3505769974149614e-07,5.59674457398818e-07,1.1263483726450764e-06,1.1300334443630504e-06
32,32000.0,8.297380487052142e-06,6.139769342334545e-07,1.953690258945058e-07,5.9432113945374294e-06,7.270638370914388e-06,3.2440161551281764e-06,7.771600494101127e-08,3.2064241520906557e-06,5.471300260941894e-06,1.7528179352123007e-07,2.3506672195114843e-07,5.597600954483238e-07,7.847477524485901e-07,8.405976607190969e-07
33,33000.0,8.228940793232584e-06,6.140137510949852e-07,1.953747448539901e-07,5.955822112949875e-06,5.814162253661798e-06,3.246818117667238e-06,7.771940829023223e-08,3.2080617882267915e-06,5.438740745749508e-06,1.7528903366675296e-07,2.3507566254965662e-07,5.598446315627567e-07,5.378779170821022e-07,6.181019785144047e-07
34,34000.0,8.157042360344624e-06,6.140491134574637e-07,1.9538041695561979e-07,5.9671057068559185e-06,4.589929874374707e-06,3.2494050381515766e-06,7.77228086933431e-08,3.2094919815854153e-06,5.405186431282891e-06,1.752962399724996e-07,2.3508452152768252e-07,5.599280652389354e-07,3.626883765726971e-07,4.492697387541442e-07
35,35000.0,8.081785987798536e-06,6.140830210693378e-07,1.953860421953041e-07,5.977054537973415e-06,3.577084944050143e-06,3.2517763988779027e-06,7.772620614994416e-08,3.2107144540325817e-06,5.37065816288422e-06,1.7530341243427192e-07,2.3509329887597275e-07,5.600103959801907e-07,2.405912618460448e-07,3.227968417114897e-07
36,36000.0,8.003276513441712e-06,6.141154736893948e-07,1.9539162056898597e-07,5.9856618635403236e-06,2.7520527640709687e-06,3.2539317250393325e-06,7.772960065963601e-08,3.2117289677648824e-06,5.335177295343972e-06,1.753105510478914e-07,2.351019945853592e-07,5.600916232963706e-07,1.5700820609553113e-07,2.2925903673854986e-07
37,37000.0,7.921622570554298e-06,6.14146471086764e-07,1.9539715207264198e-07,5.992921843930528e-06,2.0902034439177604e-06,3.2558705848838285e-06,7.773299222201961e-08,3.2125353253865434e-06,5.29876567092898e-06,1.753176558091991e-07,2.3511060864675857e-07,5.601717467038449e-07,1.0080014166516167e-07,1.6095287046581227e-07
38,38000.0,7.836936337836487e-06,6.1417601304092e-07,1.954026367022825e-07,5.998829549256453e-06,1.5672008611464307e-06,3.257592589858343e-06,7.77363808366962e-08,3.213133369973436e-06,5.261445597019183e-06,1.7532472671405587e-07,2.3511914105117282e-07,5.602507657255103e-07,6.366433728198568e-08,1.1169817208308979e-07
