,Cluster,mass,fell_found,year,latitude,longitude,group,chondrite,type,lc_sample
6836,1,93000.0,Found,1972,-30.5,131.55,Iron IIE,Achondrite,Iron,13
6837,1,93000.0,Found,1972,-30.5,131.55,Iron IIE,Achondrite,Iron,13
6839,1,4400.0,Found,1983,32.68333,-85.56667,Iron IAB,Achondrite,Iron,12
6842,1,38800.0,Found,1898,34.25,-112.75,Iron IVB,Achondrite,Iron,15
6844,1,210.0,Found,1951,-36.43333,143.63333,Iron IAB,Achondrite,Iron,1
6845,1,94200.0,Found,1924,-32.26667,139.86667,Iron IIE,Achondrite,Iron,2
6846,1,94200.0,Found,1924,-32.26667,139.86667,Iron IIE,Achondrite,Iron,2
6847,1,94200.0,Found,1924,-32.26667,139.86667,Iron IIE,Achondrite,Iron,2
6848,1,94200.0,Found,1924,-32.26667,139.86667,Iron IIE,Achondrite,Iron,2
6849,1,94200.0,Found,1924,-32.26667,139.86667,Iron IIE,Achondrite,Iron,2
6850,1,94200.0,Found,1924,-32.26667,139.86667,Iron IIE,Achondrite,Iron,2
6851,1,94200.0,Found,1924,-32.26667,139.86667,Iron IIE,Achondrite,Iron,2
6852,1,94200.0,Found,1924,-32.26667,139.86667,Iron IIE,Achondrite,Iron,2
6853,1,367.0,Found,1978,35.26667,104.31667,Mesosiderite,Achondrite,Stony-Iron,2
6855,1,8200.0,Found,1888,43.01667,-79.21667,Iron IIIAB,Achondrite,Iron,1
6868,1,1750.0,Found,1890,35.0,-94.0,Iron IVA,Achondrite,Iron,11
6877,1,145000.0,Found,1836,34.06667,-98.91667,Iron IAB,Achondrite,Iron,13
6879,1,376.0,Found,1979,49.41667,21.7,Iron,Achondrite,Iron,10
6887,1,3500.0,Found,1938,38.15,-102.66667,Iron IIC,Achondrite,Iron,2
6888,1,15500000.0,Found,1902,45.36667,-122.58333,Iron IIIAB,Achondrite,Iron,1
6894,1,7645.0,Found,1962,47.98333,-103.65,Iron IIIAB,Achondrite,Iron,2
6895,1,51000.0,Found,1914,43.46667,-106.76667,Iron IIIE,Achondrite,Iron,13
6896,1,11700.0,Found,1995,-38.10306,146.18111,Iron,Achondrite,Iron,11
6901,1,7800.0,Found,1976,29.96667,-98.11667,Iron IIIAB,Achondrite,Iron,1
6902,1,50000.0,Found,1881,-28.5,27.0,Iron IC,Achondrite,Iron,2
